BJD - 2454833,Corrected Flux,error
2468.486071625, 0.995876488,
2468.506503673, 0.994998635,
2468.526935921, 0.995421164,
2468.547368068, 0.995430336,
2468.567800316, 0.995335901,
2468.588232363, 0.995533854,
2468.608664509, 0.996589057,
2468.629096755, 0.996690044,
2468.649528800, 0.997183833,
2468.690393189, 0.997374157,
2468.710825233, 0.997940754,
2468.731257376, 0.997016742,
2468.751689619, 0.996174181,
2468.772121662, 0.996673947,
2468.792553804, 0.996366984,
2468.812986045, 0.996136992,
2468.833418086, 0.996491212,
2468.853850227, 0.996890279,
2468.874282468, 0.997013866,
2468.894714507, 0.996327338,
2468.935578885, 0.996025523,
2468.956010924, 0.995591895,
2468.976443161, 0.995294910,
2468.996875299, 0.995530317,
2469.017307336, 0.996041989,
2469.037739572, 0.996260860,
2469.058171708, 0.996396460,
2469.078603744, 0.995008889,
2469.099035979, 0.996028297,
2469.119468113, 0.998022884,
2469.139900148, 0.997948209,
2469.180764515, 0.995442653,
2469.201196647, 0.996209673,
2469.221628780, 0.996185235,
2469.242060911, 0.996245392,
2469.262493143, 0.996283095,
2469.282925173, 0.996914476,
2469.303357304, 0.997730670,
2469.323789534, 0.998108130,
2469.344221664, 0.998923242,
2469.364653693, 0.999176271,
2469.385085921, 0.998395832,
2469.425950077, 0.998956440,
2469.446382304, 0.999875382,
2469.466814431, 0.999862689,
2469.487246457, 1.000191882,
2469.507678683, 1.000168345,
2469.528110809, 1.000861694,
2469.548542833, 1.001430411,
2469.568975058, 1.001851294,
2469.589407082, 1.002560223,
2469.609839305, 1.001952827,
2469.630271428, 1.001741341,
2469.671135673, 1.001705564,
2469.691567795, 1.002122386,
2469.711999916, 1.001961446,
2469.732432037, 1.001747774,
2469.752864157, 1.001604258,
2469.773296277, 1.002090036,
2469.793728396, 1.001900811,
2469.814160516, 1.002316671,
2469.834592634, 1.001713188,
2469.855024852, 1.000805557,
2469.875456869, 1.001247419,
2469.916321203, 0.999330927,
2469.936753220, 0.999387337,
2469.957185335, 0.998631727,
2469.977617550, 0.998052226,
2469.998049565, 0.997966643,
2470.018481780, 0.997942686,
2470.038913894, 0.997852243,
2470.059345907, 0.998071564,
2470.079778120, 0.997073804,
2470.100210233, 0.996558656,
2470.120642244, 0.997562303,
2470.161506567, 0.995378340,
2470.181938678, 0.995252419,
2470.202370788, 0.995014567,
2470.222802898, 0.994705637,
2470.243235007, 0.995035792,
2470.263667116, 0.995402143,
2470.284099225, 0.995752952,
2470.304531233, 0.996534531,
2470.324963440, 0.996015055,
2470.345395547, 0.995817005,
2470.365827554, 0.997846319,
2470.406691866, 0.996608333,
2470.427123871, 0.997205574,
2470.447556076, 0.998044642,
2470.467988180, 0.997639321,
2470.488420384, 0.997777964,
2470.508852387, 0.999858895,
2470.529284490, 1.000823883,
2470.549716693, 1.000736483,
2470.570148695, 1.000960763,
2470.590580797, 1.001159529,
2470.611012998, 1.001463844,
2470.651877099, 1.000005688,
2470.672309299, 1.000790457,
2470.692741398, 1.001292625,
