BJD - 2454833,Corrected Flux,error
2468.486333673, 1.001544614,
2468.506765818, 1.001386119,
2468.527198162, 1.001372871,
2468.547630406, 1.001332060,
2468.568062749, 1.001278817,
2468.588494892, 1.001423304,
2468.608927134, 1.001360758,
2468.629359477, 1.001348001,
2468.649791618, 1.001411001,
2468.690656199, 1.001680092,
2468.711088339, 1.001645334,
2468.731520578, 1.001652009,
2468.751952917, 1.001489760,
2468.772385056, 1.001449386,
2468.792817294, 1.001351890,
2468.813249631, 1.001355262,
2468.833681768, 1.001330321,
2468.854114004, 1.001343248,
2468.874546340, 1.001398082,
2468.894978475, 1.001413382,
2468.935843045, 1.001443280,
2468.956275179, 1.001352843,
2468.976707512, 1.001327515,
2468.997139745, 1.001381743,
2469.017571877, 1.001356505,
2469.038004209, 1.001381826,
2469.058436441, 1.001337058,
2469.078868572, 1.001560758,
2469.099300902, 1.001564310,
2469.119733132, 1.001680188,
2469.140165262, 1.001550057,
2469.181029819, 1.001466826,
2469.201462047, 1.001343023,
2469.221894275, 1.001392254,
2469.242326502, 1.001344214,
2469.262758828, 1.001700089,
2469.283190954, 1.001388102,
2469.303623180, 1.001327003,
2469.324055505, 1.001345668,
2469.344487729, 1.001364633,
2469.364919853, 1.001366060,
2469.385352177, 1.001488598,
2469.426216523, 1.001388549,
2469.446648845, 1.001338938,
2469.467081066, 1.001369023,
2469.487513187, 1.001324261,
2469.507945508, 1.001394012,
2469.528377728, 1.001430020,
2469.548809848, 1.001419024,
2469.569242167, 1.001438070,
2469.589674285, 1.001540635,
2469.610106603, 1.001391664,
2469.630538821, 1.001477488,
2469.671403255, 1.001491860,
2469.691835471, 1.001557948,
2469.712267687, 1.001550559,
2469.732699902, 1.001515227,
2469.753132117, 1.001573363,
2469.773564331, 1.001601967,
2469.793996545, 1.001524034,
2469.814428758, 1.001627896,
2469.834860971, 1.001507137,
2469.855293283, 1.001596949,
2469.875725395, 1.001571262,
2469.916589917, 1.001595214,
2469.937022027, 1.001549781,
2469.957454237, 1.001661051,
2469.977886546, 1.001648210,
2469.998318655, 1.001737538,
2470.018750963, 1.001676722,
2470.039183172, 1.001692106,
2470.059615279, 1.001726079,
2470.080047586, 1.001607943,
2470.100479792, 1.001583218,
2470.120911898, 1.001665765,
2470.161776409, 1.001651855,
2470.182208613, 1.001616161,
2470.202640817, 1.001733091,
2470.223073021, 1.001727913,
2470.243505224, 1.001700284,
2470.263937426, 1.001734758,
2470.284369628, 1.001794891,
2470.304801729, 1.001869362,
2470.325234031, 1.001887788,
2470.345666231, 1.001844548,
2470.366098331, 1.001895503,
2470.406962830, 1.001865122,
2470.427394929, 1.001907147,
2470.447827227, 1.001987391,
2470.468259425, 1.001963213,
2470.488691722, 1.001953900,
2470.509123819, 1.002014063,
2470.529556015, 1.001929306,
2470.549988310, 1.001909736,
2470.570420406, 1.001953832,
2470.590852600, 1.001858436,
2470.611284895, 1.001950251,
2470.652149181, 1.001858538,
2470.672581475, 1.001908913,
2470.693013667, 1.001914094,
2470.713445759, 1.001836337,
2470.733878050, 1.001793790,
2470.754310241, 1.001851897,
2470.774742332, 1.001753951,
2470.795174621, 1.001690589,
2470.815606811, 1.001846215,
2470.836038900, 1.001801152,
2470.856471188, 1.001944728,
2470.897335664, 1.001847774,
2470.917767751, 1.001870726,
2470.938199937, 1.001793593,
2470.958632223, 1.001828370,
2470.979064309, 1.001802461,
2470.999496494, 1.001798988,
2471.019928779, 1.001884399,
2471.040360863, 1.001816840,
2471.060793047, 1.001866233,
2471.081225230, 1.001855924,
2471.101657413, 1.001815873,
2471.142521777, 1.001882177,
2471.162953958, 1.001898891,
2471.183386138, 1.001908689,
2471.203818419, 1.001872686,
2471.224250499, 1.001879176,
2471.244682678, 1.001837516,
2471.265114957, 1.001830716,
2471.285547035, 1.001917246,
2471.305979213, 1.001899705,
2471.326411491, 1.001899495,
2471.346843568, 1.001956317,
2471.367275844, 1.001885831,
2471.387708020, 1.001880431,
2471.408140096, 1.001847072,
2471.428572371, 1.001854360,
2471.449004545, 1.001823785,
2471.469436619, 1.001825396,
2471.489868893, 1.001866413,
2471.510301066, 1.001834944,
2471.530733239, 1.001910403,
2471.551165411, 1.001868295,
2471.571597583, 1.001863643,
2471.592029754, 1.001952395,
2471.632894095, 1.001864775,
2471.653326265, 1.001897724,
2471.673758534, 1.001902784,
2471.694190603, 1.001938439,
2471.714622771, 1.001955892,
2471.735055039, 1.001898666,
2471.755487107, 1.001926761,
2471.775919273, 1.001984320,
2471.796351440, 1.001896927,
2471.816783606, 1.001993747,
2471.837215872, 1.002012470,
2471.878080101, 1.002059651,
2471.898512365, 1.002002382,
2471.918944429, 1.002015811,
2471.939376592, 1.001961530,
2471.959808854, 1.002017405,
2471.980240917, 1.002043196,
2472.000673079, 1.002022024,
2472.021105340, 1.002012692,
2472.041537500, 1.001990053,
2472.061969561, 1.002017650,
2472.082401821, 1.002117591,
2472.123266039, 1.002045512,
2472.143698297, 1.002024062,
2472.164130455, 1.002026580,
2472.184562513, 1.002037669,
2472.204994770, 1.001961960,
2472.225426926, 1.002072278,
2472.245858982, 1.002091266,
2472.266291238, 1.002060331,
2472.286723393, 1.002215984,
2472.307155448, 1.002068730,
2472.327587702, 1.002097335,
2472.348019855, 1.001949891,
2472.368452109, 1.001999363,
2472.388884161, 1.002013445,
2472.409316314, 1.002036395,
2472.429748565, 1.002028226,
2472.450180617, 1.002022029,
2472.470612768, 1.002016495,
2472.491045018, 1.001982808,
2472.511477168, 1.002064004,
2472.531909217, 1.002109772,
2472.552341466, 1.002018647,
2472.572773515, 1.002131661,
2472.613637911, 1.001953933,
2472.634069958, 1.002032133,
2472.654502104, 1.001883284,
2472.674934351, 1.002045253,
2472.695366396, 1.002019146,
2472.736230786, 1.001987513,
2472.756662830, 1.001970717,
2472.777094974, 1.001993960,
2472.797527218, 1.001921722,
2472.817959261, 1.001986035,
2472.858823645, 1.001902622,
2472.879255786, 1.001890423,
2472.899687927, 1.001974858,
2472.920120068, 1.001869138,
2472.940552208, 1.002014269,
2472.960984348, 1.001939830,
2472.981416487, 1.001959778,
2473.001848626, 1.001998063,
2473.022280863, 1.002014872,
2473.042712901, 1.001989503,
2473.063145039, 1.001935804,
2473.124441448, 1.001756615,
2473.144873683, 1.001945946,
2473.165305718, 1.001988826,
2473.185737853, 1.001966142,
2473.206170087, 1.001885756,
2473.226602120, 1.001879274,
2473.247034253, 1.001955211,
2473.267466486, 1.001860103,
2473.287898518, 1.001822953,
2473.308330650, 1.001879566,
2473.328762781, 1.002010877,
2473.349194912, 1.001994323,
2473.369627142, 1.001891846,
2473.390059272, 1.001935661,
2473.410491302, 1.001950291,
2473.430923531, 1.001943689,
2473.451355659, 1.002023851,
2473.471787687, 1.001909912,
2473.492219914, 1.001931904,
2473.512652041, 1.001869921,
2473.533084068, 1.001828229,
2473.553516294, 1.001920367,
2473.594380445, 1.001862151,
2473.614812670, 1.001875260,
2473.635244794, 1.001831373,
2473.655676818, 1.001821136,
2473.676109041, 1.001809008,
2473.696541164, 1.001845304,
2473.716973287, 1.001772383,
2473.737405409, 1.001751484,
2473.757837530, 1.001655432,
2473.778269651, 1.001753874,
2473.798701772, 1.001749648,
2473.839566012, 1.001663590,
2473.859998231, 1.001735587,
2473.880430250, 1.001689114,
2473.900862468, 1.001624470,
2473.921294586, 1.001664056,
2473.941726603, 1.001742642,
2473.962158820, 1.001682317,
2473.982590936, 1.001531070,
2474.003022953, 1.001545645,
