BJD - 2454833,Corrected Flux,error
2570.367492480, 0.987192477,
2570.387924566, 0.987446774,
2570.408356450, 0.987538228,
2570.428788435, 0.987037481,
2570.449220519, 0.986951829,
2570.469652402, 0.986906313,
2570.490084385, 0.986997596,
2570.510516467, 0.987147578,
2570.530948349, 0.987295032,
2570.551380331, 0.987178848,
2570.571812412, 0.986954669,
2570.592244292, 0.987037611,
2570.612676273, 0.987553369,
2570.633108352, 0.987646806,
2570.653540231, 0.987781271,
2570.673972210, 0.987249929,
2570.694404288, 0.987479225,
2570.714836266, 0.987424032,
2570.735268143, 0.987281016,
2570.755700220, 0.987105278,
2570.796564072, 0.987730361,
2570.816996147, 0.988237488,
2570.837428122, 0.987867692,
2570.857859997, 0.987598753,
2570.878292070, 0.987576787,
2570.898724044, 0.987381738,
2570.919156117, 0.987227440,
2570.939587989, 0.988024273,
2570.960019961, 0.987225692,
2570.980452033, 0.987804862,
2571.000883904, 0.988094369,
2571.021315875, 0.987202536,
2571.041747944, 0.987532437,
2571.062179814, 0.987687984,
2571.082611783, 0.987706333,
2571.103043752, 0.987942935,
2571.123475721, 0.987843838,
2571.143907688, 0.987625768,
2571.164339656, 0.987719331,
2571.184771622, 0.987536061,
2571.205203589, 0.987241882,
2571.225635655, 0.987453193,
2571.246067520, 0.987204702,
2571.286931549, 0.987634610,
2571.307363414, 0.987322755,
2571.327795377, 0.987562349,
2571.348227440, 0.987609053,
2571.368659303, 0.987834954,
2571.389091265, 0.987943580,
2571.409523327, 0.987942116,
2571.429955188, 0.988003131,
2571.450387149, 0.988198120,
2571.470819209, 0.988424747,
2571.491251069, 0.988314016,
2571.511683028, 0.988273293,
2571.532115087, 0.988601064,
2571.552547045, 0.988692771,
2571.572978904, 0.988168286,
2571.593410961, 0.987511782,
2571.613842918, 0.987845216,
2571.634274774, 0.987503839,
2571.654706830, 0.987502109,
2571.675138786, 0.987639616,
2571.695570641, 0.987570437,
2571.716002696, 0.987934666,
2571.736434650, 0.987607950,
2571.777298557, 0.987582654,
2571.797730510, 0.988008571,
2571.818162462, 0.987738729,
2571.838594414, 0.987813031,
2571.859026365, 0.987402105,
2571.879458316, 0.987574243,
2571.899890267, 0.987687805,
2571.920322217, 0.987591195,
2571.940754167, 0.987734091,
2571.961186116, 0.987739232,
2571.981618064, 0.987548748,
2572.002050013, 0.987496624,
2572.022481961, 0.987939047,
2572.042913908, 0.987591219,
2572.063345954, 0.987274046,
2572.083777801, 0.987171084,
2572.104209747, 0.987343090,
2572.124641792, 0.987513184,
2572.145073637, 0.987755320,
2572.165505581, 0.987888700,
2572.185937626, 0.987639606,
2572.206369469, 0.987643005,
2572.226801412, 0.987801532,
2572.267665297, 0.988010275,
2572.288097239, 0.987631801,
2572.308529280, 0.988064412,
2572.328961121, 0.988026715,
2572.349393062, 0.988246582,
2572.369825102, 0.987857042,
2572.390257041, 0.987723710,
2572.410688880, 0.987601403,
2572.431120919, 0.987847968,
2572.451552857, 0.988011692,
2572.471984694, 0.987898568,
2572.512848668, 0.987645995,
2572.533280505, 0.987592460,
2572.553712540, 0.987891921,
2572.574144476, 0.987879753,
2572.594576310, 0.987678714,
2572.615008345, 0.987927122,
2572.635440279, 0.987964989,
2572.655872113, 0.987977091,
2572.676304145, 0.988130095,
2572.696735978, 0.987887566,
2572.717168010, 0.987654774,
2572.778463804, 0.987827829,
2572.798895735, 0.987979349,
2572.819327664, 0.987978581,
2572.839759594, 0.987785346,
2572.860191523, 0.987884430,
2572.880623451, 0.987973196,
2572.901055479, 0.987781068,
2572.921487307, 0.987900520,
2572.941919234, 0.987958245,
2572.962351261, 0.988152100,
2572.982783087, 0.987167323,
2573.003215013, 0.987884079,
2573.023647039, 0.988015657,
2573.044078864, 0.987849978,
2573.064510788, 0.987992193,
2573.084942812, 0.987849940,
2573.105374636, 0.987567888,
2573.125806559, 0.988266631,
2573.146238581, 0.988141481,
2573.166670404, 0.987980041,
2573.187102325, 0.987931876,
2573.207534347, 0.987884202,
2573.227966267, 0.987875537,
2573.248398088, 0.987451059,
2573.268830108, 0.987883960,
2573.289262028, 0.988203655,
2573.309693847, 0.988221919,
2573.330125866, 0.988200284,
2573.350557784, 0.988378744,
2573.370989601, 0.988379781,
