BJD - 2454833,Corrected Flux,error
2560.702764511, 1.001623423,
2560.743628604, 1.002136320,
2560.764060799, 1.002108845,
2560.784492794, 1.002002282,
2560.804924889, 1.002005058,
2560.825357083, 1.001753416,
2560.845789076, 1.002022483,
2560.866221169, 1.001856463,
2560.886653362, 1.001706235,
2560.907085353, 0.999627919,
2560.927517445, 0.997400420,
2560.947949636, 0.996319402,
2561.009245905, 1.001815622,
2561.029677994, 1.001875067,
2561.050109983, 1.001834816,
2561.070542170, 1.001932492,
2561.090974257, 1.001806119,
2561.111406244, 1.001661728,
2561.131838430, 1.001933376,
2561.152270416, 1.001677331,
2561.172702601, 1.001794345,
2561.193134686, 1.002042843,
2561.233998854, 1.001849053,
2561.254430936, 1.001996186,
2561.274862919, 1.001738234,
2561.295295101, 1.001704589,
2561.315727183, 1.001822692,
2561.336159164, 1.001711537,
2561.356591344, 1.001613001,
2561.377023424, 1.001396041,
2561.397455504, 0.999468195,
2561.417887583, 0.998444722,
2561.438319661, 0.998534228,
2561.479183817, 1.001536054,
2561.499615894, 1.001564604,
2561.520047970, 1.001827005,
2561.540480146, 1.001587008,
2561.560912122, 1.001587567,
2561.581344196, 1.001856041,
2561.601776371, 1.000255144,
2561.622208345, 0.999433228,
2561.642640418, 0.999683410,
2561.663072591, 0.999176965,
2561.683504563, 0.998741848,
2561.724368807, 1.001723617,
2561.744800777, 1.001498856,
2561.765232948, 1.001598778,
2561.785665017, 1.001858277,
2561.806096986, 1.000643149,
2561.826529155, 0.999900030,
2561.846961224, 0.999865944,
2561.867393291, 0.999915533,
2561.887825358, 1.000030721,
2561.908257425, 0.999640380,
2561.928689391, 1.001460676,
2561.969553622, 1.001517227,
2561.989985587, 1.001587802,
2562.010417751, 1.001608030,
2562.030849815, 1.001475995,
2562.051281778, 1.001538145,
2562.071713941, 1.001451138,
2562.092146003, 1.001450729,
2562.112577965, 1.001338630,
2562.133010126, 1.001486035,
2562.153442186, 1.001451406,
2562.173874146, 1.000904756,
2562.214738365, 1.001577708,
2562.235170424, 1.001468530,
2562.255602482, 1.001467786,
2562.276034539, 1.001376988,
2562.296466596, 1.001393713,
2562.316898653, 1.001579576,
2562.337330709, 1.001264259,
2562.357762764, 1.001150545,
2562.378194920, 1.001015150,
2562.398626874, 1.000695278,
2562.419058928, 1.000341713,
2562.459923035, 1.001367215,
2562.480355187, 1.001387587,
2562.500787239, 1.001449216,
2562.521219191, 1.001462108,
2562.541651342, 1.001351986,
2562.562083392, 1.000948126,
2562.582515343, 1.001455541,
2562.602947492, 1.001879785,
2562.623379541, 1.001478137,
2562.643811490, 1.001102470,
2562.664243638, 1.001214250,
2562.705107632, 1.001317591,
2562.725539778, 1.001308207,
2562.745971824, 1.001468532,
2562.766403770, 1.001337353,
2562.786835915, 1.001310939,
2562.807267959, 1.001646770,
2562.827699903, 1.001349049,
2562.848132047, 1.001177093,
2562.868564090, 1.001461693,
2562.888996032, 1.001350648,
2562.909428174, 1.002027788,
2562.950292157, 1.001043401,
2562.970724297, 1.001165573,
2562.991156337, 1.001233912,
2563.011588277, 1.001119856,
2563.032020416, 1.001273111,
2563.052452454, 1.001108563,
2563.072884492, 1.001167743,
2563.093316530, 1.001275446,
2563.113748567, 1.001152867,
2563.134180603, 1.001256327,
2563.154612639, 1.001093760,
2563.195476810, 1.001144198,
2563.215908844, 1.001172737,
2563.236340779, 1.001195383,
2563.256772912, 1.001221951,
2563.277204945, 1.001243063,
2563.297636877, 1.001136931,
2563.318069009, 1.001237373,
2563.338501041, 1.001063979,
2563.358932972, 1.001159743,
2563.379365102, 1.001056599,
2563.399797033, 1.001417991,
2563.440661191, 1.001171152,
2563.461093120, 1.001066296,
2563.481525148, 1.001247743,
2563.501957276, 1.001072531,
2563.522389203, 1.001112998,
2563.542821229, 1.001129481,
2563.563253355, 1.001201720,
2563.583685381, 1.001150943,
2563.604117306, 1.001066140,
2563.624549431, 1.001651834,
2563.644981455, 1.001781421,
2563.685845501, 1.001110378,
2563.706277524, 1.001082078,
2563.726709447, 1.001054883,
2563.747141568, 1.001153641,
2563.767573589, 1.001073155,
2563.788005510, 1.001068221,
2563.808437630, 1.001418828,
2563.828869650, 1.001163926,
2563.849301569, 1.001248899,
2563.869733688, 1.001995967,
2563.890165706, 1.001937826,
2563.931029741, 1.001202853,
2563.951461758, 1.001174007,
2563.971893774, 1.001109549,
2563.992325789, 1.000809675,
2564.012757805, 1.001516262,
2564.033189920, 1.001803205,
