BJD - 2454833,Corrected Flux,error
2468.486581669, 1.000735602,
2468.507013915, 1.000618187,
2468.527446361, 1.000543533,
2468.547878706, 1.000435119,
2468.568311151, 1.000459042,
2468.588743395, 1.000582230,
2468.609175739, 1.000509032,
2468.629608183, 1.000451414,
2468.650040425, 1.000284654,
2468.690905209, 1.000750036,
2468.711337451, 1.000736135,
2468.731769791, 1.000765334,
2468.752202231, 1.000632854,
2468.772634471, 1.000578222,
2468.793066810, 1.000465299,
2468.813499249, 1.000481557,
2468.833931487, 1.000566153,
2468.854363825, 1.000456267,
2468.874796262, 1.000562665,
2468.895228498, 1.000445021,
2468.936093270, 1.000693156,
2468.956525505, 1.000555233,
2468.976957939, 1.000451885,
2468.997390273, 1.000617359,
2469.017822507, 1.000468626,
2469.038254940, 1.000540473,
2469.058687272, 1.000367075,
2469.079119504, 1.000542078,
2469.099551935, 1.000505026,
2469.119984266, 1.000586691,
2469.140416496, 1.000525728,
2469.181281255, 1.000580807,
2469.201713584, 1.000535459,
2469.222145912, 1.000568644,
2469.242578240, 1.000426064,
2469.263010667, 1.000501188,
2469.283442893, 1.000630918,
2469.303875220, 1.000536369,
2469.324307645, 1.000531361,
2469.344739970, 1.000516446,
2469.365172195, 1.000441001,
2469.385604619, 1.000518041,
2469.426469166, 1.000462602,
2469.446901588, 1.000572733,
2469.467333910, 1.000569052,
2469.487766131, 1.000528331,
2469.508198552, 1.000552730,
2469.528630873, 1.000616423,
2469.549063092, 1.000520931,
2469.569495512, 1.000566192,
2469.589927731, 1.000465694,
2469.610360149, 1.000559420,
2469.630792467, 1.000565779,
2469.671657101, 1.000640016,
2469.692089417, 1.000608822,
2469.712521734, 1.000618169,
2469.732954049, 1.000535733,
2469.753386364, 1.000589132,
2469.773818677, 1.000644396,
2469.794250991, 1.000588707,
2469.814683305, 1.000592057,
2469.835115617, 1.000633754,
2469.855548029, 1.000633729,
2469.875980241, 1.000575529,
2469.916844963, 1.000548434,
2469.937277173, 1.000637967,
2469.957709482, 1.000527037,
2469.978141891, 1.000581262,
2469.998574100, 1.000659937,
2470.019006508, 1.000543031,
2470.039438815, 1.000649677,
2470.059871022, 1.000553133,
2470.080303429, 1.000682594,
2470.100735735, 1.000672894,
2470.121167940, 1.000534064,
2470.162032650, 1.000637624,
2470.182464954, 1.000607533,
2470.202897257, 1.000586838,
2470.223329560, 1.000595045,
2470.243761862, 1.000624225,
2470.264194164, 1.000535938,
2470.284626466, 1.000707782,
2470.305058666, 1.000628775,
2470.325491067, 1.000657576,
2470.345923367, 1.000559495,
2470.366355566, 1.000529502,
2470.407220263, 1.000512116,
2470.427652461, 1.000637539,
2470.448084858, 1.000633048,
2470.468517155, 1.000539157,
2470.488949551, 1.000527366,
2470.509381747, 1.000511877,
2470.529814042, 1.000617166,
2470.550246436, 1.000602610,
2470.570678630, 1.000584898,
2470.591110924, 1.000499216,
2470.611543317, 1.000533762,
2470.652407802, 1.000468316,
2470.672840194, 1.000657163,
2470.693272485, 1.000626873,
2470.713704675, 1.000566788,
2470.734137065, 1.000548746,
2470.754569355, 1.000519336,
2470.775001544, 1.000571849,
2470.795433933, 1.000499925,
2470.815866221, 1.000550146,
2470.836298408, 1.000455270,
2470.856730795, 1.000567412,
2470.897595468, 1.000413817,
2470.918027654, 1.000521375,
2470.938459938, 1.000469860,
2470.958892323, 1.000467906,
2470.979324507, 1.000481357,
2470.999756790, 1.000347061,
2471.020189173, 1.000495200,
2471.040621355, 1.000472990,
2471.061053638, 1.000505022,
2471.081485919, 1.000437990,
2471.101918200, 1.000725870,
2471.142782760, 1.000307436,
2471.163215040, 1.000312118,
2471.183647319, 1.000357988,
2471.204079697, 1.000288319,
2471.224511875, 1.000281809,
2471.244944152, 1.000237693,
2471.265376529, 1.000247770,
2471.285808705, 1.000264473,
2471.306240981, 1.000275059,
2471.326673357, 1.000356117,
2471.347105531, 1.001176433,
2471.367537906, 1.000439462,
2471.387970180, 1.000348019,
2471.408402353, 1.000401695,
2471.428834726, 1.000299597,
2471.449266998, 1.000300472,
2471.469699170, 1.000404922,
2471.490131541, 1.000411242,
2471.510563812, 1.000368841,
2471.530996082, 1.000320859,
2471.551428352, 1.000284008,
2471.571860621, 1.000260634,
2471.592292890, 1.000351055,
2471.633157426, 1.000310092,
2471.653589694, 1.000374492,
2471.674022060, 1.000382406,
2471.694454226, 1.000439147,
2471.714886492, 1.000380076,
2471.735318858, 1.000306610,
2471.755751022, 1.000393547,
2471.776183287, 1.000342322,
2471.796615550, 1.000357351,
2471.817047813, 1.000437167,
2471.837480176, 1.000319295,
2471.878344600, 1.000244482,
2471.898776961, 1.000245141,
2471.919209122, 1.000296555,
2471.939641382, 1.000375471,
2471.960073742, 1.000391872,
2471.980505901, 1.000364900,
2472.000938160, 1.000382649,
2472.021370518, 1.000358366,
