BJD - 2457000,PDC_SAP flux,error,Quality Flag
1411.058789,11105955,359.44003,0
1411.060178,11124865,359.44788,512
1411.061567,11106872,359.43912,0
1411.062956,11108351,359.47998,0
1411.064344,11108960,359.46432,0
1411.065733,11105023,359.44827,0
1411.067122,11105993,359.43307,0
1411.068511,11108069,359.47443,0
1411.0699,11116715,359.5236,512
1411.071289,11104697,359.40024,0
1411.072678,11103385,359.41022,0
1411.074067,11106857,359.46637,0
1411.075456,11109813,359.52588,0
1411.076845,11103807,359.3931,0
1411.078234,11107182,359.42844,0
1411.079623,11107555,359.4796,0
1411.081012,11108556,359.51624,0
1411.082401,11145725,359.4776,512
1411.08379,11109226,359.4833,0
1411.085179,11107929,359.47446,0
1411.086568,11106304,359.41806,0
1411.087956,11110785,359.52255,0
1411.089345,11107737,359.443,0
1411.090734,11106034,359.4326,0
1411.092123,11106727,359.44193,0
1411.093512,11106398,359.4353,0
1411.094901,11107913,359.4732,0
1411.09629,11106888,359.4507,0
1411.097679,11106860,359.44247,0
1411.099068,11107230,359.48044,0
1411.100457,11108624,359.49423,0
1411.101846,11105341,359.46112,0
1411.103235,11108076,359.4713,0
1411.104624,11107406,359.47565,0
1411.106013,11108877,359.49008,0
1411.107402,11109964,359.46414,0
1411.108791,11107724,359.45474,0
1411.11018,11107281,359.42776,0
1411.111568,11108364,359.4898,0
1411.112957,11109279,359.46313,0
1411.114346,11109851,359.48334,0
1411.115735,11124525,359.4979,512
1411.117124,11109251,359.4732,0
1411.118513,11108104,359.4626,0
1411.119902,11105860,359.44122,0
1411.121291,11109450,359.46497,0
1411.12268,11106894,359.4244,0
1411.124069,11110249,359.50287,0
1411.125458,11107504,359.42548,0
1411.126847,11107696,359.43723,0
1411.128236,11109829,359.49792,0
1411.129625,11120592,359.4583,512
1411.131014,11112117,359.4869,0
1411.132403,11117618,359.48892,512
1411.133792,11105391,359.3608,0
1411.13518,11115189,359.54135,0
1411.136569,11107943,359.45264,0
1411.137958,11107372,359.4037,0
1411.139347,11115646,359.56,0
1411.140736,11108185,359.41617,0
1411.142125,11108267,359.42502,0
1411.143514,11110655,359.43442,0
1411.144903,11123948,359.5404,512
1411.146292,11111260,359.47574,0
1411.147681,11110043,359.457,0
1411.14907,11108865,359.3972,0
1411.150459,11110667,359.44254,0
1411.151848,11110919,359.48984,0
1411.153237,11110510,359.46457,0
1411.154626,11110754,359.46295,0
1411.156015,11111925,359.469,0
1411.157403,11109444,359.42548,0
1411.158792,11111351,359.46634,0
1411.160181,11107846,359.37323,0
1411.16157,11109858,359.39246,0
1411.162959,11112413,359.4897,0
1411.164348,11113602,359.5094,0
1411.165737,11112561,359.45255,0
1411.167126,11111095,359.41083,0
1411.168515,11110458,359.42688,0
1411.169904,11114488,359.4472,0
1411.171293,11114125,359.46414,0
1411.172682,11112040,359.42868,0
1411.174071,11111152,359.40225,0
1411.17546,11113838,359.45135,0
1411.176849,11114750,359.44543,0
1411.178238,11095100,359.41354,512
1411.179627,11112805,359.4684,0
1411.181015,11112268,359.4665,0
1411.182404,11108304,359.35715,0
1411.183793,11132710,359.46616,512
1411.185182,11114137,359.48972,0
1411.186571,11113101,359.44266,0
1411.18796,11111622,359.42313,0
1411.189349,11109968,359.39682,0
1411.190738,11114749,359.46445,0
1411.192127,11113306,359.45334,0
1411.193516,11114667,359.49933,0
1411.194905,11108467,359.3928,0
1411.196294,11128246,359.41907,512
1411.197683,11114197,359.44852,0
1411.199072,11115587,359.49765,0
1411.200461,11112590,359.4299,0
1411.20185,11115376,359.4734,0
1411.203239,11113636,359.46884,0
1411.204627,11113890,359.4333,0
1411.206016,11117267,359.51062,0
1411.207405,11117463,359.50406,0
1411.208794,11113719,359.43903,0
1411.210183,11100114,359.44626,512
1411.211572,11117187,359.50644,0
1411.212961,11104646,359.35855,512
1411.21435,11113618,359.41498,0
1411.215739,11112935,359.40784,0
1411.217128,11120542,359.54034,0
1411.218517,11115572,359.46375,0
1411.219906,11112634,359.42145,0
1411.221295,11112015,359.3717,0
1411.222684,11132965,359.5212,512
1411.224073,11111926,359.41635,0
1411.225462,11114175,359.44205,0
1411.22685,11110378,359.3703,0
1411.228239,11112195,359.44043,0
1411.229628,11111362,359.41898,0
1411.231017,11118255,359.50574,0
1411.232406,11127982,359.39587,512
1411.233795,11113697,359.45737,0
1411.235184,11111937,359.41574,0
1411.236573,11114201,359.419,0
1411.237962,11112089,359.40414,0
1411.239351,11114350,359.4433,0
1411.24074,11115726,359.49045,0
1411.242129,11112145,359.39795,0
1411.243518,11116535,359.51297,0
1411.244907,11113820,359.42166,0
1411.246296,11109642,359.37555,0
1411.247685,11113157,359.44135,0
1411.249074,11112709,359.47098,0
1411.250462,11106050,359.33603,0
1411.251851,11113534,359.4582,0
1411.25324,11109803,359.40997,0
1411.254629,11110401,359.3929,0
1411.256018,11112980,359.473,0
1411.257407,11114725,359.4504,0
1411.258796,11110574,359.37704,0
1411.260185,11110834,359.40405,0
1411.261574,11107707,359.38428,0
1411.262963,11108494,359.3597,0
1411.264352,11112319,359.4397,0
1411.265741,11114857,359.48285,0
1411.26713,11109660,359.3947,0
1411.268519,11108991,359.35098,0
1411.269908,11109998,359.4158,0
1411.271297,11113669,359.46646,0
1411.272685,11109196,359.40216,0
1411.274074,11110954,359.4177,0
1411.275463,11117128,359.47766,0
1411.276852,11112337,359.41418,0
1411.278241,11113698,359.45966,0
1411.27963,11109667,359.3725,0
1411.281019,11112061,359.43826,0
1411.282408,11113780,359.4431,0
1411.283797,11111719,359.4265,0
1411.285186,11114304,359.46732,0
1411.286575,11109065,359.36066,0
1411.287964,11111028,359.4347,0
1411.289353,11111553,359.4117,0
1411.290742,11114881,359.48096,0
