BJD - 2454833, Corrected Flux
3426.126454842, 0.997385975,
3426.146886984, 0.997149168,
3426.167319027, 0.997137304,
3426.187751070, 0.997089688,
3426.208183112, 0.997174607,
3426.228615153, 0.997325136,
3426.249047194, 0.997476123,
3426.269479234, 0.997088822,
3426.289911275, 0.997034378,
3426.310343314, 0.997360046,
3426.351207393, 0.996800709,
3426.371639431, 0.996569977,
3426.392071469, 0.996540319,
3426.412503507, 0.996480386,
3426.432935444, 0.996433509,
3426.453367581, 0.996438789,
3426.473799618, 0.996301429,
3426.494231754, 0.996276114,
3426.514663689, 0.996332802,
3426.535095725, 0.996080448,
3426.555527860, 0.995995589,
3426.575959794, 0.996032517,
3426.596391828, 0.995750910,
3426.616823961, 0.995725744,
3426.637255895, 0.995753006,
3426.657687927, 0.995581658,
3426.678120060, 0.995257566,
3426.698552091, 0.995175437,
3426.718984023, 0.994937663,
3426.739416154, 0.995315158,
3426.759848184, 0.995840480,
3426.780280115, 0.996089048,
3426.800712244, 0.997046813,
3426.821144274, 0.996919575,
3426.841576203, 0.997029733,
3426.862008332, 0.997065055,
3426.882440360, 0.996395160,
3426.902872288, 0.995373436,
3426.923304415, 0.995097704,
3426.943736442, 0.994770021,
3426.964168368, 0.994746066,
3426.984600495, 0.994749825,
3427.005032520, 0.994901305,
3427.025464546, 0.994943179,
3427.045896571, 0.995217320,
3427.066328595, 0.995449317,
3427.086760619, 0.995618807,
3427.107192643, 0.995089605,
3427.127624666, 0.994890386,
3427.148056589, 0.994928596,
3427.168488711, 0.995246728,
3427.188920734, 0.995482333,
3427.209352755, 0.995330463,
3427.229784776, 0.995007381,
3427.250216797, 0.994854655,
3427.270648717, 0.994839517,
3427.291080837, 0.994804003,
3427.311512857, 0.994730883,
3427.331944777, 0.994814427,
3427.352376895, 0.995256942,
3427.372808914, 0.995234998,
3427.393240931, 0.995240981,
3427.413672949, 0.995302396,
3427.434104966, 0.995051228,
3427.454536983, 0.995354550,
3427.474968999, 0.994983743,
3427.495401015, 0.995177359,
3427.515833031, 0.995261144,
3427.536265146, 0.995183044,
3427.556697061, 0.994858050,
3427.577129075, 0.994781284,
3427.597561189, 0.994784642,
3427.617993103, 0.994867253,
3427.638425116, 0.994856847,
3427.658857228, 0.994930162,
3427.679289141, 0.994937947,
3427.699721152, 0.994990660,
3427.720153264, 0.995104585,
3427.740585175, 0.995328957,
3427.761017186, 0.995290850,
3427.781449296, 0.994958655,
3427.801881206, 0.994947922,
3427.822313316, 0.995138922,
3427.842745325, 0.995151016,
3427.863177333, 0.995168215,
3427.883609342, 0.995156283,
3427.904041350, 0.995177060,
3427.924473357, 0.995261164,
3427.944905364, 0.995265117,
3427.965337371, 0.995301617,
3427.985769277, 0.995453869,
3428.006201383, 0.995361535,
3428.026633388, 0.995494959,
3428.047065293, 0.995397859,
3428.067497398, 0.995437055,
3428.087929402, 0.995579532,
3428.108361306, 0.995660450,
3428.128793410, 0.995739387,
3428.149225413, 0.995662153,
3428.169657316, 0.995616952,
3428.190089418, 0.995703634,
3428.210521420, 0.995732646,
3428.230953421, 0.995729357,
3428.251385422, 0.995858780,
3428.271817423, 0.995997141,
3428.333113422, 0.995809412,
3428.353545422, 0.995773565,
3428.373977521, 0.995726821,
3428.394409419, 0.995626328,
3428.414841417, 0.996315143,
3428.435273515, 0.996551477,
3428.455705411, 0.996688614,
3428.476137408, 0.996252136,
3428.496569505, 0.996006459,
3428.517001400, 0.995918179,
3428.537433396, 0.996146910,
3428.557865491, 0.996102077,
3428.578297386, 0.996201024,
3428.598729380, 0.996494140,
3428.619161474, 0.996494337,
3428.639593368, 0.996752950,
3428.660025361, 0.996802231,
3428.680457454, 0.996962932,
3428.700889446, 0.997195825,
3428.721321338, 0.997290012,
3428.741753430, 0.997027683,
3428.762185421, 0.996608759,
3428.782617312, 0.996680351,
3428.803049403, 0.996483431,
3428.884777260, 0.996828785,
3428.905209248, 0.997171970,
3428.925641337, 0.996849535,
3428.946073225, 0.997152651,
3428.966505212, 0.996597596,
3428.986937299, 0.996929914,
3429.007369185, 0.997192465,
3429.027801172, 0.997133145,
3429.048233257, 0.997413627,
3429.068665243, 0.997597838,
3429.089097127, 0.997121431,
3429.109529212, 0.997251414,
3429.129961196, 0.997308346,
3429.170825163, 0.997670924,
3429.191257147, 0.997374167,
3429.211689229, 0.997324317,
3429.252553093, 0.997602652,
3429.272985175, 0.997545951,
3429.293417056, 0.997578614,
3429.313849037, 0.997542387,
3429.334281117, 0.997673181,
3429.354712997, 0.997756272,
3429.375144976, 0.997694370,
3429.395577056, 0.997675182,
3429.416008934, 0.997533989,
3429.436440913, 0.997872014,
3429.456872990, 0.997643664,
3429.477304868, 0.997620156,
3429.497736846, 0.997695898,
3429.538600899, 0.998910174,
3429.559032775, 0.998375317,
3429.579464851, 0.998146173,
3429.599896826, 0.997937972,
3429.620328701, 0.998283520,
3429.640760775, 0.999045770,
3429.661192650, 0.998206312,
3429.681624623, 0.996911456,
3429.702056696, 0.996730864,
3429.722488570, 0.997109802,
3429.742920542, 0.997440617,
3429.763352614, 0.997189588,
3429.783784486, 0.997289152,
3429.804216458, 0.997867538,
3429.824648529, 0.997174303,
3429.845080400, 0.997230025,
3429.865512370, 0.997634970,
3429.885944440, 0.997416423,
3429.906376409, 0.997585225,
3429.926808279, 0.997674688,
3429.947240347, 0.997353314,
3429.967672316, 0.997445638,
3429.988104184, 0.997547262,
3430.008536252, 0.997964349,
3430.028968219, 0.997512828,
3430.049400086, 0.997424432,
3430.069832152, 0.997632904,
3430.090264119, 0.997562511,
3430.110695984, 0.997655647,
3430.131128050, 0.997591883,
3430.151560015, 0.997381160,
3430.171991879, 0.997353270,
3430.192423944, 0.997392588,
3430.212855908, 0.997495765,
3430.233287871, 0.997190644,
3430.274151797, 0.997873164,
3430.294583759, 0.997322362,
3430.315015721, 0.997095940,
3430.335447683, 0.996926233,
3430.355879644, 0.996812326,
3430.376311705, 0.996958065,
3430.396743565, 0.997060871,
3430.417175526, 0.996514943,
3430.437607485, 0.996581731,
3430.458039445, 0.996616779,
3430.498903362, 0.996686637,
3430.519335321, 0.996525243,
3430.539767378, 0.996491709,
3430.560199236, 0.996430030,
3430.580631193, 0.996420749,
3430.601063250, 0.996205451,
3430.621495106, 0.996278379,
3430.641927062, 0.996174800,
3430.662359118, 0.995937286,
3430.682790973, 0.996047022,
3430.703222928, 0.995905950,
3430.723654983, 0.996237563,
3430.764518790, 0.995898628,
3430.784950844, 0.995705326,
3430.805382797, 0.995803966,
3430.825814650, 0.995661583,
3430.846246702, 0.995585178,
3430.866678654, 0.995477115,
3430.887110505, 0.995493182,
3430.907542556, 0.995450823,
3430.927974507, 0.995338035,
3430.948406358, 0.995466576,
3430.968838408, 0.995273039,
3431.009702207, 0.995027828,
3431.030134255, 0.994887770,
3431.050566204, 0.994938531,
3431.070998152, 0.994896910,
3431.091430100, 0.994843855,
3431.111862048, 0.994828121,
3431.132293995, 0.994795829,
3431.152725942, 0.994775509,
3431.173157888, 0.994728678,
3431.193589834, 0.994645036,
3431.214021879, 0.994517038,
3431.254885669, 0.994110595,
