time, flux, empty
3266.166798489, 1.000732561,
3266.187233926, 1.000706163,
3266.207669463, 1.000718840,
3266.228105101, 1.000731769,
3266.248540539, 1.000789087,
3266.268976177, 1.000882887,
3266.289411715, 1.000886655,
3266.309847154, 1.000656826,
3266.371153771, 1.000880497,
3266.391589410, 1.000764962,
3266.412024950, 1.000750256,
3266.432460390, 1.000816653,
3266.452896030, 1.000775123,
3266.473331470, 1.000751953,
3266.493767111, 1.000745105,
3266.514202652, 1.000707643,
3266.534638193, 1.000736733,
3266.555073734, 1.000777367,
3266.595944818, 1.000638099,
3266.616380360, 1.000973994,
3266.636815902, 1.000714379,
3266.657251445, 1.000491311,
3266.677686987, 1.000721916,
3266.698122530, 1.000841581,
3266.718558174, 1.000624965,
3266.738993717, 1.000684808,
3266.759429161, 1.000795056,
3266.779864805, 1.000748411,
3266.800300349, 1.000748845,
3266.820735793, 1.000727603,
3266.841171438, 1.000716565,
3266.861606983, 1.000636365,
3266.882042628, 1.000776630,
3266.902478073, 1.000722428,
3266.922913619, 1.000734735,
3266.943349265, 1.000716344,
3266.963784711, 1.000895310,
3266.984220257, 1.000863480,
3267.004655903, 1.000823115,
3267.025091350, 1.000840843,
3267.045526897, 1.000887805,
3267.086397992, 1.000784164,
3267.106833639, 1.000765506,
3267.127269187, 1.000777734,
3267.147704635, 1.000904402,
3267.168140284, 1.000915613,
3267.188575832, 1.000873556,
3267.209011281, 1.000932555,
3267.229446930, 1.000901964,
3267.249882479, 1.000937519,
3267.270317929, 1.000911370,
3267.290753578, 1.000893209,
3267.331624778, 1.000699059,
3267.352060229, 1.000459922,
3267.372495779, 1.000734614,
3267.392931430, 1.000955462,
3267.413366881, 1.000894642,
3267.433802432, 1.000926207,
3267.454238084, 1.000933796,
3267.474673536, 1.000978991,
3267.495109088, 1.000977653,
3267.515544740, 1.000952814,
3267.535980192, 1.000944239,
3267.556415845, 1.001034118,
3267.576851397, 1.000989079,
3267.597286851, 1.000966743,
3267.617722504, 1.001062840,
3267.638158057, 1.001115017,
3267.658593611, 1.001042645,
3267.679029165, 1.001029194,
3267.699464719, 1.001089464,
3267.719900274, 1.001133681,
3267.740335828, 1.001192210,
3267.760771383, 1.001167957,
3267.781207038, 1.000995096,
3267.822078049, 1.001136695,
3267.842513605, 1.001172790,
3267.862949161, 1.001166450,
3267.883384717, 1.001126591,
3267.903820373, 1.001200048,
3267.924255830, 1.001292953,
3267.944691386, 1.001229485,
3267.965127044, 1.001288937,
3267.985562501, 1.001315232,
3268.005998158, 1.001419956,
3268.026433716, 1.001372864,
3268.067304832, 1.001348820,
3268.087740390, 1.001425132,
3268.108175849, 1.001413703,
3268.128611508, 1.001412378,
3268.149047067, 1.001386877,
3268.169482726, 1.001486218,
3268.189918185, 1.001359980,
3268.230789405, 1.001511144,
3268.251224865, 1.001570027,
3268.271660425, 1.001554049,
3268.312531547, 1.001534864,
3268.332967107, 1.001570619,
3268.353402769, 1.001489248,
3268.373838330, 1.001505410,
3268.394273892, 1.001636245,
3268.414709453, 1.001676045,
3268.435145015, 1.001747316,
3268.455580578, 1.001660845,
3268.476016140, 1.001625000,
3268.496451703, 1.001703804,
3268.516887266, 1.001702091,
3268.557758292, 1.001694304,
3268.578193956, 1.001699560,
3268.598629519, 1.001710871,
3268.619065183, 1.001727920,
3268.639500647, 1.001731449,
3268.659936212, 1.001714470,
3268.680371876, 1.001795839,
3268.700807341, 1.001830362,
3268.721242906, 1.001802691,
3268.741678571, 1.001816273,
3268.762114037, 1.001808300,
