BJD - 2454833,Corrected Flux,error
2560.743749048, 1.001147462,
2560.764181296, 1.001047968,
2560.784613343, 1.001109107,
2560.805045490, 1.001056055,
2560.825477736, 1.001019624,
2560.845909781, 1.001040340,
2560.866341927, 1.001096576,
2560.886774171, 1.001070749,
2560.907206215, 1.001074150,
2560.927638359, 1.001115237,
2560.948070602, 1.001177909,
2561.009367027, 1.000976992,
2561.029799168, 1.000900200,
2561.050231208, 1.000963573,
2561.070663448, 1.000992020,
2561.091095587, 1.000978062,
2561.111527626, 1.000969637,
2561.131959864, 1.001006756,
2561.152391901, 1.001051594,
2561.172824138, 1.001034192,
2561.193256275, 1.000990961,
2561.234120546, 1.000988717,
2561.254552681, 1.000971450,
2561.274984716, 1.001050465,
2561.295416949, 1.001025714,
2561.315849083, 1.001007018,
2561.336281115, 1.000974946,
2561.356713348, 1.000962025,
2561.377145479, 1.000966385,
2561.397577611, 1.000993287,
2561.418009741, 1.001001632,
2561.438441871, 1.001046422,
2561.479306130, 1.000926268,
2561.499738258, 1.000937342,
2561.520170386, 1.000990719,
2561.540602613, 1.000958730,
2561.561034641, 1.001013139,
2561.581466767, 1.001021403,
2561.601898993, 1.000986865,
2561.622331018, 1.001041176,
2561.642763143, 1.001019085,
2561.663195367, 1.001079459,
2561.683627391, 1.001081440,
2561.724491736, 1.001051871,
2561.744923758, 1.001062699,
2561.765355980, 1.001062102,
2561.785788101, 1.001052724,
2561.806220122, 1.001039207,
2561.826652342, 1.001048986,
2561.847084461, 1.000992991,
2561.887948698, 1.001105962,
2561.908380816, 1.001036774,
2561.928812834, 1.001108856,
2561.969677167, 1.001004893,
2561.990109182, 1.001020952,
2562.010541398, 1.000993026,
2562.030973512, 1.001001624,
2562.051405526, 1.000987253,
2562.071837740, 1.001026450,
2562.092269853, 1.001014386,
2562.112701866, 1.001015315,
2562.133134078, 1.001015429,
2562.153566189, 1.001036349,
2562.173998201, 1.001042079,
2562.214862521, 1.001062391,
2562.235294630, 1.001082111,
2562.255726739, 1.001070882,
2562.276158848, 1.001088484,
2562.296590955, 1.001092288,
2562.317023063, 1.001025156,
2562.337455169, 1.001005919,
2562.357887276, 1.001003068,
2562.378319482, 1.000959113,
2562.398751487, 1.000937024,
2562.419183591, 1.001004305,
2562.460047799, 1.001002703,
2562.480480002, 1.001024285,
2562.500912105, 1.001064195,
2562.521344107, 1.001016778,
2562.541776309, 1.000983583,
2562.562208410, 1.001024943,
2562.582640410, 1.001038564,
2562.603072610, 1.000985831,
2562.623504710, 1.001017338,
2562.643936709, 1.001058285,
2562.664368907, 1.001017791,
2562.705233002, 1.001031206,
2562.725665199, 1.001014874,
2562.746097295, 1.000985329,
2562.766529291, 1.000990495,
2562.786961487, 1.000969556,
2562.807393581, 1.000974344,
2562.827825575, 1.000957994,
2562.848257769, 1.000969094,
2562.868689862, 1.001138493,
2562.889121855, 1.000999243,
2562.909554047, 1.001049082,
2562.950418130, 1.000966356,
2562.970850321, 1.000941141,
2562.991282410, 1.000902625,
2563.011714400, 1.000927981,
2563.032146589, 1.000918350,
2563.052578678, 1.000861676,
2563.073010766, 1.000951063,
2563.093442853, 1.000914647,
2563.113874940, 1.000917111,
2563.134307026, 1.000915538,
2563.154739113, 1.000929104,
2563.195603383, 1.000932863,
2563.216035467, 1.000934368,
2563.236467451, 1.000948154,
2563.256899634, 1.000967236,
2563.277331717, 1.000920512,
2563.297763700, 1.000876456,
2563.318195882, 1.000889460,
2563.338627963, 1.000886497,
2563.359059944, 1.000843592,
2563.379492124, 1.000912379,
2563.399924103, 1.000873186,
2563.440788361, 1.000947403,
2563.461220339, 1.000894652,
2563.481652417, 1.000887604,
2563.502084594, 1.000826286,
2563.522516571, 1.000786113,
2563.542948647, 1.000851092,
2563.563380823, 1.000878279,
2563.583812898, 1.000839651,
2563.604244872, 1.000805022,
2563.624677046, 1.000794615,
2563.645109120, 1.000861101,
2563.685973265, 1.000859521,
2563.706405337, 1.000925393,
2563.726837309, 1.000850277,
2563.747269480, 1.000862900,
2563.767701551, 1.000876698,
2563.788133521, 1.000888600,
2563.808565690, 1.000863490,
2563.828997759, 1.000831519,
2563.849429727, 1.000790465,
2563.869861895, 1.000828588,
2563.890293963, 1.000887845,
2563.931158096, 1.000969865,
2563.951590162, 1.000929357,
2563.972022227, 1.000883009,
2563.992454292, 1.000843242,
2564.012886356, 1.000864491,
2564.033318520, 1.000970230,
2564.053750584, 1.000835751,
2564.074182547, 1.000778781,
2564.094614709, 1.000785272,
2564.115046670, 1.000816928,
2564.135478732, 1.000824074,
2564.176342853, 1.000920239,
2564.196774913, 1.000889226,
2564.217207072, 1.000885521,
2564.237639031, 1.000893184,
2564.258071089, 1.000911835,
2564.278503247, 1.000879756,
2564.298935204, 1.000834160,
2564.319367261, 1.000803848,
2564.339799417, 1.000852250,
2564.360231372, 1.000830885,
2564.380663427, 1.000806171,
2564.421527636, 1.000904328,
2564.441959590, 1.000794049,
2564.462391743, 1.000787405,
2564.482823796, 1.000958866,
2564.503255748, 1.000839038,
2564.523687900, 1.000789794,
2564.544119951, 1.000713254,
2564.564551902, 1.000669561,
2564.584984052, 1.000714534,
2564.605416101, 1.000666126,
2564.625848051, 1.000789285,
2564.666712247, 1.000878512,
2564.687144195, 1.000873390,
2564.707576342, 1.000871440,
2564.728008389, 1.000858508,
2564.748440435, 1.000886100,
2564.768872480, 1.000908024,
2564.789304526, 1.000754817,
2564.809736570, 1.000826528,
2564.830168614, 1.000737304,
2564.850600658, 1.000797546,
2564.871032801, 1.000780764,
2564.932328827, 1.000837309,
2564.952760868, 1.000792064,
2564.973192909, 1.000785899,
2564.993625049, 1.000783984,
2565.014056989, 1.000730862,
2565.034489028, 1.000746333,
2565.054921167, 1.000771923,
2565.075353105, 1.000728919,
2565.095785142, 1.000764779,
2565.116217279, 1.000728273,
2565.157081252, 1.000683184,
2565.177513388, 1.000654316,
2565.197945323, 1.000714133,
2565.218377357, 1.000647473,
2565.238809491, 1.000658216,
2565.259241525, 1.000622295,
2565.279673458, 1.000631033,
2565.300105591, 1.000605651,
2565.320537623, 1.000563866,
2565.340969554, 1.000547258,
2565.361401686, 1.000639943,
2565.402265646, 1.000735636,
2565.422697776, 1.000792660,
2565.443129805, 1.000720284,
2565.463561734, 1.000712624,
2565.483993862, 1.000687854,
2565.504425889, 1.000685734,
2565.524857816, 1.000686231,
2565.545289943, 1.000706859,
2565.565721969, 1.000688764,
2565.586153995, 1.000746150,
2565.606586020, 1.000668109,
2565.647450069, 1.000745441,
2565.667882093, 1.000655488,
2565.688314116, 1.000673863,
2565.708746238, 1.000609785,
2565.729178161, 1.000713099,
2565.749610183, 1.000675180,
2565.770042204, 1.000864240,
2565.790474225, 1.000649429,
2565.810906245, 1.000658905,
2565.831338365, 1.000641093,
2565.851770284, 1.000624091,
2565.892634421, 1.000588419,
2565.913066339, 1.000629435,
2565.933498356, 1.000590099,
2565.953930473, 1.000610753,
2565.974362389, 1.000581025,
2565.994794405, 1.000600709,
2566.015226520, 1.000523450,
2566.035658435, 1.000570674,
2566.056090449, 1.000577007,
2566.076522563, 1.000521639,
2566.096954576, 1.000560828,
2566.137818601, 1.000564805,
2566.158250613, 1.000629099,
2566.178682525, 1.000588161,
2566.199114636, 1.000627802,
2566.219546646, 1.000579601,
2566.239978556, 1.000562328,
2566.260410666, 1.000581649,
2566.280842674, 1.000604795,
2566.301274583, 1.000598070,
2566.321706691, 1.000554645,
2566.342138698, 1.000532660,
2566.383002712, 1.000686319,
2566.403434718, 1.000524590,
2566.423866723, 1.000511186,
2566.444298728, 1.000506634,
2566.464730733, 1.000477217,
2566.485162637, 1.000549314,
2566.505594741, 1.000483672,
2566.546458746, 1.000493200,
2566.566890749, 1.000476861,
2566.587322750, 1.000482896,
2566.628186752, 1.000497181,
2566.648618752, 1.000478503,
2566.669050852, 1.000509962,
