BJD - 2454833,Corrected Flux,error
2560.703151116, 0.992823082,
2560.744015522, 0.992635361,
2560.764447875, 0.992660656,
2560.784880027, 0.992536335,
2560.805312278, 0.992412611,
2560.825744629, 0.992433084,
2560.846176780, 0.992501479,
2560.866609029, 0.992470905,
2560.887041378, 0.992369622,
2560.907473527, 0.992280810,
2560.927905775, 0.992219421,
2560.948338122, 0.992198164,
2561.009634861, 0.992567843,
2561.030067106, 0.992575931,
2561.050499251, 0.992608290,
2561.070931595, 0.992500477,
2561.091363839, 0.992337994,
2561.111795981, 0.992351437,
2561.132228323, 0.992305724,
2561.152660466, 0.992262775,
2561.173092807, 0.992302699,
2561.193525047, 0.992190219,
2561.234389527, 0.992636648,
2561.254821765, 0.992548738,
2561.275253904, 0.992377121,
2561.295686241, 0.992230740,
2561.316118479, 0.992183360,
2561.336550615, 0.992191586,
2561.356982951, 0.992164643,
2561.377415187, 0.992217183,
2561.397847422, 0.992125218,
2561.418279656, 0.991985957,
2561.438711890, 0.991955873,
2561.479576356, 0.992153743,
2561.500008588, 0.992139540,
2561.520440819, 0.992150250,
2561.540873150, 0.992093063,
2561.561305281, 0.991952287,
2561.581737511, 0.991942725,
2561.602169840, 0.991878450,
2561.622601968, 0.991902550,
2561.643034196, 0.991838467,
2561.663466524, 0.991815667,
2561.683898651, 0.991689087,
2561.724763204, 0.991971379,
2561.745195328, 0.991837545,
2561.765627653, 0.991799468,
2561.786059877, 0.991677405,
2561.806492001, 0.991640849,
2561.826924324, 0.991557279,
2561.847356546, 0.991596432,
2561.867788769, 0.991677343,
2561.888220990, 0.991425669,
2561.908653211, 0.991349851,
2561.929085331, 0.991425878,
2561.969949870, 0.991670120,
2561.990381988, 0.991770411,
2562.010814306, 0.991816833,
2562.031246524, 0.991690659,
2562.051678640, 0.991625969,
2562.072110957, 0.991678915,
2562.092543173, 0.991607660,
2562.112975288, 0.991534917,
2562.133407602, 0.991521811,
2562.153839816, 0.991472281,
2562.174271930, 0.991357740,
2562.215136455, 0.991414488,
2562.235568667, 0.991332491,
2562.256000878, 0.991444604,
2562.276433089, 0.991215606,
2562.296865299, 0.991168257,
2562.317297508, 0.991178634,
2562.337729717, 0.991330806,
2562.358161926, 0.991255030,
2562.378594234, 0.991240809,
2562.399026341, 0.991055823,
2562.419458548, 0.991265563,
2562.460322960, 0.991350631,
2562.480755265, 0.991350442,
2562.501187469, 0.991348405,
2562.521619573, 0.991389503,
2562.542051877, 0.991426976,
2562.562484080, 0.991371336,
2562.582916182, 0.991383607,
2562.603348484, 0.991345179,
2562.623780685, 0.991285760,
2562.644212785, 0.991291846,
2562.664645086, 0.991491027,
2562.705509384, 0.991417829,
2562.725941683, 0.991313170,
2562.746373880, 0.991312517,
2562.766805978, 0.991300634,
2562.787238274, 0.991447328,
2562.807670470, 0.991412692,
2562.828102566, 0.991348277,
2562.848534861, 0.991396844,
2562.868967056, 0.991389474,
2562.889399150, 0.991378651,
2562.909831443, 0.991389595,
2562.950695728, 0.991008362,
2562.971128020, 0.991254235,
2562.991560211, 0.991275259,
2563.011992302, 0.991227799,
2563.032424592, 0.991234515,
2563.052856781, 0.991281653,
2563.073288970, 0.991266722,
2563.093721159, 0.991311173,
2563.114153347, 0.991352924,
2563.134585534, 0.991421104,
2563.155017721, 0.991224821,
2563.195882193, 0.991039521,
2563.216314378, 0.991115983,
2563.236746463, 0.991174763,
2563.257178747, 0.991135738,
2563.277610930, 0.991181111,
2563.298043013, 0.991036949,
2563.318475295, 0.991175586,
2563.338907477, 0.991241006,
2563.359339558, 0.991235019,
2563.379771839, 0.991320731,
2563.400203919, 0.991272466,
2563.441068378, 0.991189730,
2563.461500456, 0.991136008,
2563.481932634, 0.991126299,
2563.502364912, 0.991280215,
2563.522796989, 0.991358031,
2563.543229165, 0.991269406,
2563.563661441, 0.991312375,
