   MJD (day)      ,RV(m/s)  ,Err(m/s),  Instrument
   54437.24951    ,  0.4    ,   0.3  , HARPS_old
   54437.25051    ,  0.9    ,   0.3  , HARPS_old
   54437.25152    ,  1.1    ,   0.3  , HARPS_old
   54512.11533    ,  3.3    ,   0.6  , HARPS_old
   54512.11629    ,  3.5    ,   0.8  , HARPS_old
   54512.11721    ,  5.5    ,   0.7  , HARPS_old
   54512.11819    ,  4.7    ,   0.6  , HARPS_old
   54512.11910    ,  4.3    ,   0.6  , HARPS_old
   54512.12022    ,  4.9    ,   0.5  , HARPS_old
   54512.12102    ,  3.0    ,   0.5  , HARPS_old
   54512.12194    ,  5.5    ,   0.5  , HARPS_old
   54520.05161    , -0.1    ,   0.4  , HARPS_old
   54520.05253    ,  1.4    ,   0.4  , HARPS_old
   54520.05350    ,  0.4    ,   0.4  , HARPS_old
   54520.05444    , -0.9    ,   0.4  , HARPS_old
   54520.05539    ,  1.0    ,   0.4  , HARPS_old
   54520.05633    ,  0.3    ,   0.4  , HARPS_old
   54520.05730    ,  0.3    ,   0.4  , HARPS_old
   54520.05825    , -0.0    ,   0.4  , HARPS_old
   54686.34817    ,  3.2    ,   0.4  , HARPS_old
   54686.34913    ,  5.1    ,   0.4  , HARPS_old
   54686.35008    ,  3.6    ,   0.4  , HARPS_old
   54686.35103    ,  4.7    ,   0.4  , HARPS_old
   54686.35197    ,  5.5    ,   0.4  , HARPS_old
   54686.35292    ,  4.3    ,   0.4  , HARPS_old
   54686.35387    ,  2.5    ,   0.4  , HARPS_old
   54686.35482    ,  3.7    ,   0.4  , HARPS_old
   54686.35578    ,  1.8    ,   0.4  , HARPS_old
   54715.35668    ,  0.0    ,   0.6  , HARPS_old
   54715.35764    , -2.7    ,   0.5  , HARPS_old
   54715.35859    ,  0.3    ,   0.6  , HARPS_old
   54715.35954    ,  0.6    ,   0.5  , HARPS_old
   54715.36048    , -2.4    ,   0.5  , HARPS_old
   54715.36143    , -1.2    ,   0.6  , HARPS_old
   54715.36238    , -1.1    ,   0.5  , HARPS_old
   54715.36334    , -1.0    ,   0.5  , HARPS_old
   54715.36427    , -1.8    ,   0.6  , HARPS_old
   55066.42084    ,  2.5    ,   0.3  , HARPS_old
   55066.42355    ,  3.0    ,   0.4  , HARPS_old
   55066.42636    ,  3.0    ,   0.4  , HARPS_old
   55066.42902    ,  2.4    ,   0.3  , HARPS_old
   55066.42902    ,  2.4    ,   0.3  , HARPS_old
   55066.42902    ,  2.4    ,   0.3  , HARPS_old
   55835.29009    , -0.3    ,   0.2  , HARPS_old
   55835.29278    , -0.5    ,   0.2  , HARPS_old
   55835.29544    , -0.1    ,   0.2  , HARPS_old
   55835.29808    , -0.8    ,   0.2  , HARPS_old
   55838.23136    ,  1.3    ,   0.3  , HARPS_old
   55838.23535    ,  1.2    ,   0.3  , HARPS_old
   55842.31760    , -0.7    ,   0.2  , HARPS_old
   55842.32028    ,  0.6    ,   0.2  , HARPS_old
   55842.32301    ,  0.2    ,   0.2  , HARPS_old
   55874.28796    ,  0.1    ,   0.2  , HARPS_old
   55874.29000    ,  0.5    ,   0.2  , HARPS_old
   55874.29211    ,  0.3    ,   0.2  , HARPS_old
   55874.29422    ,  0.4    ,   0.3  , HARPS_old
   55874.29628    ,  1.1    ,   0.3  , HARPS_old
   55874.29846    ,  0.5    ,   0.3  , HARPS_old
   55878.20079    ,  3.1    ,   0.3  , HARPS_old
   55878.20287    ,  2.7    ,   0.3  , HARPS_old
   55878.20504    ,  2.9    ,   0.3  , HARPS_old
   55878.20711    ,  3.4    ,   0.3  , HARPS_old
   55878.20919    ,  2.8    ,   0.3  , HARPS_old
   55878.21134    ,  3.3    ,   0.4  , HARPS_old
   55880.20596    ,  0.0    ,   0.2  , HARPS_old
   55880.20806    ,  0.0    ,   0.2  , HARPS_old
   55880.21016    ,  1.0    ,   0.2  , HARPS_old
   55880.21227    ,  1.1    ,   0.2  , HARPS_old
   55880.21437    ,  1.1    ,   0.2  , HARPS_old
   55880.21648    ,  0.7    ,   0.2  , HARPS_old
   55892.14546    , -2.3    ,   0.3  , HARPS_old
   55892.14702    , -2.9    ,   0.3  , HARPS_old
   55892.14857    , -2.2    ,   0.3  , HARPS_old
   55892.15009    , -1.2    ,   0.3  , HARPS_old
   55892.15162    , -2.6    ,   0.3  , HARPS_old
   55892.15316    , -2.0    ,   0.3  , HARPS_old
   55892.15467    , -2.8    ,   0.3  , HARPS_old
   55899.17604    , -1.5    ,   0.2  , HARPS_old
   55899.17756    , -2.5    ,   0.2  , HARPS_old
   55899.17910    , -1.7    ,   0.2  , HARPS_old
   55899.18061    , -1.4    ,   0.2  , HARPS_old
   55899.18214    , -1.3    ,   0.2  , HARPS_old
   55901.20904    , -2.0    ,   0.1  , HARPS_old
   55902.28909    ,  2.7    ,   0.7  , HARPS_old
   55902.29004    ,  2.2    ,   0.5  , HARPS_old
   55902.29098    ,  1.1    ,   0.5  , HARPS_old
   55902.29193    ,  0.5    ,   0.5  , HARPS_old
   55902.29385    ,  1.5    ,   0.6  , HARPS_old
   55902.29476    ,  0.4    ,   0.6  , HARPS_old
   55902.29573    ,  2.8    ,   0.6  , HARPS_old
   56189.35470    , -0.9    ,   0.2  , HARPS_old
   56189.36019    , -1.0    ,   0.2  , HARPS_old
   56195.29794    , -1.7    ,   0.2  , HARPS_old
   56195.30183    , -2.6    ,   0.2  , HARPS_old
   56195.30560    , -2.9    ,   0.2  , HARPS_old
   56201.31040    , -0.2    ,   0.3  , HARPS_old
   56201.31309    , -0.2    ,   0.3  , HARPS_old
   56201.31578    , -0.9    ,   0.3  , HARPS_old
   56619.15712    , -2.4    ,   0.3  , HARPS_old
   56619.15891    , -2.6    ,   0.3  , HARPS_old
   56619.16065    , -2.5    ,   0.3  , HARPS_old
   56619.16241    , -2.3    ,   0.3  , HARPS_old
   56619.16416    , -2.9    ,   0.3  , HARPS_old
   56626.24105    , -0.4    ,   0.2  , HARPS_old
   56626.24483    , -0.4    ,   0.2  , HARPS_old
   56626.24866    , -0.3    ,   0.2  , HARPS_old
   56629.22413    ,  1.1    ,   0.3  , HARPS_old
   56629.22622    ,  2.4    ,   0.3  , HARPS_old
   56629.22830    ,  1.5    ,   0.3  , HARPS_old
   56629.23043    ,  1.5    ,   0.3  , HARPS_old
   56629.23252    ,  1.0    ,   0.3  , HARPS_old
   56629.23463    ,  3.0    ,   0.3  , HARPS_old
   56631.18910    ,  1.1    ,   0.3  , HARPS_old
   56631.19456    ,  0.7    ,   0.4  , HARPS_old
   56712.08159    ,  0.3    ,   0.2  , HARPS_old
   56712.08539    ,  0.8    ,   0.2  , HARPS_old
   56712.08923    ,  1.2    ,   0.2  , HARPS_old
   56713.07110    ,  0.6    ,   0.2  , HARPS_old
   56714.06962    ,  2.6    ,   0.3  , HARPS_old
   56714.07395    ,  2.4    ,   0.4  , HARPS_old
   56714.07730    ,  1.7    ,   0.3  , HARPS_old
   56715.06378    ,  1.9    ,   0.3  , HARPS_old
   56715.06589    ,  1.2    ,   0.3  , HARPS_old
   56715.06800    ,  1.2    ,   0.3  , HARPS_old
   56715.07012    ,  1.3    ,   0.3  , HARPS_old
   56715.07213    ,  1.6    ,   0.3  , HARPS_old
   56715.07428    ,  1.0    ,   0.3  , HARPS_old
   56718.05428    ,  2.9    ,   0.4  , HARPS_old
   56718.05638    ,  2.3    ,   0.4  , HARPS_old
   56718.05845    ,  2.8    ,   0.4  , HARPS_old
   56718.06060    ,  3.1    ,   0.4  , HARPS_old
   56718.06270    ,  3.0    ,   0.4  , HARPS_old
   56718.06482    ,  2.6    ,   0.4  , HARPS_old
   56727.02028    , -0.7    ,   0.2  , HARPS_old
   56727.02580    ,  0.1    ,   0.2  , HARPS_old
   56729.99712    ,  1.1    ,   0.2  , HARPS_old
   56730.00099    ,  0.8    ,   0.2  , HARPS_old
   56730.00466    ,  0.8    ,   0.2  , HARPS_old
   56895.37869    ,  0.7    ,   0.2  , HARPS_old
   56895.38256    , -0.4    ,   0.2  , HARPS_old
   56895.38651    , -0.6    ,   0.2  , HARPS_old
   56903.40373    ,  2.7    ,   0.4  , HARPS_old
   56903.40606    ,  1.5    ,   0.3  , HARPS_old
   56903.40871    ,  2.1    ,   0.3  , HARPS_old
   56903.41109    ,  1.7    ,   0.3  , HARPS_old
   56903.41342    ,  1.3    ,   0.3  , HARPS_old
   56927.33174    ,  0.0    ,   0.2  , HARPS_old
   56927.33384    ,  0.6    ,   0.3  , HARPS_old
   56927.33597    , -0.5    ,   0.2  , HARPS_old
   56927.33807    , -0.5    ,   0.2  , HARPS_old
   56927.34020    ,  0.5    ,   0.2  , HARPS_old
   56927.34229    , -0.2    ,   0.2  , HARPS_old
   56929.35275    ,  0.8    ,   0.2  , HARPS_old
   56929.35533    ,  0.8    ,   0.2  , HARPS_old
   56929.35777    ,  0.4    ,   0.2  , HARPS_old
   56929.36027    , -0.6    ,   0.2  , HARPS_old
   56929.36266    , -0.0    ,   0.2  , HARPS_old
   57020.10371    ,  1.1    ,   0.2  , HARPS_old
   57020.10724    ,  1.4    ,   0.2  , HARPS_old
   57020.11073    ,  1.3    ,   0.2  , HARPS_old
   57038.12832    , -3.5    ,   0.2  , HARPS_old
   57038.13038    , -3.3    ,   0.2  , HARPS_old
   57038.13250    , -2.5    ,   0.2  , HARPS_old
   57039.06306    , -4.9    ,   0.3  , HARPS_old
   57039.06410    , -4.1    ,   0.3  , HARPS_old
   57039.06518    , -2.5    ,   0.4  , HARPS_old
   57039.06624    , -3.2    ,   0.3  , HARPS_old
   57039.06730    , -4.4    ,   0.3  , HARPS_old
   57039.06836    , -5.3    ,   0.3  , HARPS_old
   57039.06944    , -6.7    ,   0.3  , HARPS_old
   57039.07049    , -3.6    ,   0.3  , HARPS_old
   57274.36039    , -0.4    ,   0.2  , HARPS_new
   57274.36304    , -0.3    ,   0.2  , HARPS_new
   57274.36567    ,  0.1    ,   0.2  , HARPS_new
   57274.36846    ,  0.0    ,   0.2  , HARPS_new
   57277.34809    ,  0.1    ,   0.2  , HARPS_new
   57277.35020    , -0.1    ,   0.2  , HARPS_new
   57277.35226    , -0.5    ,   0.2  , HARPS_new
   57277.35436    ,  0.0    ,   0.2  , HARPS_new
   57277.35646    ,  0.3    ,   0.2  , HARPS_new
   57277.35857    , -0.1    ,   0.2  , HARPS_new
   57295.32938    ,  0.6    ,   0.3  , HARPS_new
   57295.33066    ,  0.5    ,   0.3  , HARPS_new
   57295.33195    ,  0.7    ,   0.3  , HARPS_new
   57295.33326    ,  1.1    ,   0.3  , HARPS_new
   57295.33452    ,  0.8    ,   0.3  , HARPS_new
   57295.33580    ,  0.4    ,   0.3  , HARPS_new
   57295.33709    ,  1.1    ,   0.3  , HARPS_new
   57295.33837    ,  0.8    ,   0.3  , HARPS_new
   57300.34498    ,  3.1    ,   0.2  , HARPS_new
   57305.35764    ,  2.7    ,   0.3  , HARPS_new
   57305.35974    ,  1.6    ,   0.3  , HARPS_new
   57305.36183    ,  1.8    ,   0.3  , HARPS_new
   57305.36397    ,  2.6    ,   0.3  , HARPS_new
   57305.36604    ,  2.0    ,   0.3  , HARPS_new
   57305.36816    ,  2.2    ,   0.3  , HARPS_new
   57308.31078    ,  1.0    ,   0.3  , HARPS_new
   57308.31227    ,  0.8    ,   0.3  , HARPS_new
   57308.31376    ,  0.6    ,   0.3  , HARPS_new
   57308.31529    ,  0.5    ,   0.3  , HARPS_new
   57308.31680    ,  0.1    ,   0.3  , HARPS_new
   57308.31833    ,  0.6    ,   0.3  , HARPS_new
   57308.31984    ,  0.1    ,   0.4  , HARPS_new
   57308.32138    ,  1.0    ,   0.3  , HARPS_new
   57308.32288    , -0.7    ,   0.3  , HARPS_new
   57327.21667    ,  3.5    ,   0.3  , HARPS_new
   57327.22047    ,  3.4    ,   0.3  , HARPS_new
   57327.22433    ,  3.9    ,   0.3  , HARPS_new
   57327.22433    ,  3.9    ,   0.3  , HARPS_new
   57339.22945    , -1.7    ,   0.2  , HARPS_new
   57339.23349    , -1.6    ,   0.2  , HARPS_new
   57340.21305    , -2.4    ,   0.2  , HARPS_new
   57340.21683    , -3.0    ,   0.2  , HARPS_new
   57341.30793    , -2.0    ,   0.2  , HARPS_new
   57341.31173    , -1.7    ,   0.1  , HARPS_new
   57341.32054    , -0.9    ,   0.2  , HARPS_new
   57341.32054    , -0.9    ,   0.2  , HARPS_new
   57341.32054    , -0.9    ,   0.2  , HARPS_new
   57341.32054    , -0.9    ,   0.2  , HARPS_new
   57341.32054    , -0.9    ,   0.2  , HARPS_new
   57360.22911    ,  0.3    ,   0.2  , HARPS_new
   57360.23294    ,  0.2    ,   0.2  , HARPS_new
   57361.25429    , -0.3    ,   0.2  , HARPS_new
   57361.25810    , -0.5    ,   0.2  , HARPS_new
   57362.25741    , -0.5    ,   0.1  , HARPS_new
   57362.26127    , -0.5    ,   0.1  , HARPS_new
   57391.15942    , -0.6    ,   0.3  , HARPS_new
   57391.16075    ,  0.6    ,   0.3  , HARPS_new
   57391.16204    ,  0.1    ,   0.3  , HARPS_new
   57391.16332    , -0.0    ,   0.2  , HARPS_new
   57391.16459    , -0.1    ,   0.2  , HARPS_new
   57391.16588    ,  0.7    ,   0.2  , HARPS_new
   57391.16716    , -0.5    ,   0.2  , HARPS_new
   57391.16845    ,  0.7    ,   0.2  , HARPS_new
   57391.16974    , -0.0    ,   0.2  , HARPS_new
   57432.08823    , -2.7    ,   0.2  , HARPS_new
   57432.09206    , -2.6    ,   0.2  , HARPS_new
   57432.09590    , -1.8    ,   0.2  , HARPS_new
   57459.01089    , -4.8    ,   0.2  , HARPS_new
   57459.01485    , -4.8    ,   0.2  , HARPS_new
   57459.01851    , -4.7    ,   0.2  , HARPS_new
   57462.99697    , -3.3    ,   0.2  , HARPS_new
   57462.99939    , -4.0    ,   0.2  , HARPS_new
   57463.00185    , -3.6    ,   0.2  , HARPS_new
   57463.00429    , -3.7    ,   0.2  , HARPS_new
   57463.00674    , -3.4    ,   0.2  , HARPS_new
   57470.00315    , -1.5    ,   0.2  , HARPS_new
   57470.00597    , -1.8    ,   0.2  , HARPS_new
   57470.00894    , -1.5    ,   0.2  , HARPS_new
   57470.01186    , -1.0    ,   0.2  , HARPS_new
   57474.98620    ,  0.3    ,   0.3  , HARPS_new
   57474.99006    ,  0.2    ,   0.3  , HARPS_new
   57474.99389    ,  0.0    ,   0.3  , HARPS_new
