 MJD (day),     S_index,     Source
49331.8027,0.169,      MW
49332.7725,0.169,      MW
49332.7744,0.168,      MW
49332.7759,0.171,      MW
49342.7573,0.172,      MW
49342.7588,0.171,      MW
49342.7603,0.171,      MW
49344.7476,0.172,      MW
49344.749,0.174,      MW
49344.7505,0.171,      MW
49350.7119,0.179,      MW
49350.7134,0.178,      MW
49350.7148,0.178,      MW
49355.7344,0.178,      MW
49355.7363,0.177,      MW
49355.7378,0.178,      MW
49360.7075,0.176,      MW
49360.709,0.176,      MW
49360.71,0.175,      MW
49362.6987,0.174,      MW
49362.7007,0.175,      MW
49362.7021,0.175,      MW
49365.7173,0.17,      MW
49365.7183,0.171,      MW
49365.7197,0.174,      MW
49368.7368,0.172,      MW
49368.7383,0.174,      MW
49368.7397,0.174,      MW
49394.6577,0.174,      MW
49394.6587,0.176,      MW
49394.6602,0.176,      MW
49399.6748,0.175,      MW
49635.9067,0.179,      MW
49635.9082,0.175,      MW
49635.9092,0.173,      MW
49642.9351,0.172,      MW
49642.936,0.169,      MW
49642.937,0.17,      MW
49643.9126,0.172,      MW
49643.9141,0.168,      MW
49643.915,0.165,      MW
49645.9155,0.169,      MW
49645.9165,0.168,      MW
49645.918,0.171,      MW
49648.8564,0.17,      MW
49648.8574,0.173,      MW
49648.8589,0.17,      MW
49652.8989,0.172,      MW
49652.8999,0.171,      MW
49652.9014,0.169,      MW
49654.8931,0.177,      MW
49654.894,0.175,      MW
49654.895,0.175,      MW
49656.8843,0.173,      MW
49656.8853,0.176,      MW
49656.8862,0.171,      MW
49658.9106,0.177,      MW
49658.9121,0.176,      MW
49658.9131,0.175,      MW
49660.8662,0.181,      MW
49660.8677,0.178,      MW
49660.8696,0.181,      MW
49668.8794,0.179,      MW
49668.8804,0.175,      MW
49668.8818,0.177,      MW
49670.8726,0.176,      MW
49670.874,0.174,      MW
49670.875,0.176,      MW
49676.8511,0.172,      MW
49676.8525,0.173,      MW
49676.8535,0.175,      MW
49680.8447,0.169,      MW
49680.8462,0.17,      MW
49680.8472,0.168,      MW
49689.7993,0.171,      MW
49689.8003,0.174,      MW
49689.8018,0.172,      MW
49694.8438,0.176,      MW
49694.8452,0.175,      MW
49694.8462,0.172,      MW
49696.8032,0.173,      MW
49696.8047,0.168,      MW
49696.8057,0.173,      MW
49697.8203,0.177,      MW
49697.8218,0.169,      MW
49697.8228,0.174,      MW
49702.8423,0.179,      MW
49702.8438,0.18,      MW
49702.8447,0.178,      MW
49707.7739,0.177,      MW
49707.7754,0.18,      MW
49707.7764,0.177,      MW
49713.7656,0.176,      MW
49713.7666,0.175,      MW
49713.7681,0.176,      MW
49716.7588,0.173,      MW
49716.7603,0.175,      MW
49716.7612,0.173,      MW
49719.7534,0.174,      MW
49719.7549,0.172,      MW
49719.7559,0.176,      MW
49730.7251,0.172,      MW
49730.7266,0.173,      MW
49730.7275,0.172,      MW
49735.7275,0.176,      MW
49735.729,0.171,      MW
49735.73,0.173,      MW
49747.6826,0.18,      MW
49747.6836,0.181,      MW
49747.6851,0.18,      MW
49750.6875,0.175,      MW
49750.689,0.176,      MW
49750.6899,0.183,      MW
49752.6821,0.183,      MW
49752.6836,0.179,      MW
49752.6846,0.184,      MW
49755.6772,0.169,      MW
49755.6787,0.166,      MW
49755.6802,0.165,      MW
49758.6943,0.175,      MW
49758.6953,0.181,      MW
49758.6968,0.186,      MW
49766.665,0.178,      MW
49766.6665,0.174,      MW
49766.6675,0.172,      MW
49768.6655,0.174,      MW
49768.6665,0.167,      MW
49768.668,0.17,      MW
49771.644,0.171,      MW
49771.645,0.172,      MW
49771.6465,0.173,      MW
52939.3022,0.181,   HARPS
52939.3029,0.182,   HARPS
52939.3036,0.183,   HARPS
52939.3043,0.18,   HARPS
52939.305,0.179,   HARPS
52940.2642,0.182,   HARPS
52945.259,0.178,   HARPS
52945.2867,0.176,   HARPS
52945.2874,0.179,   HARPS
52945.2881,0.179,   HARPS
52945.2889,0.177,   HARPS
52945.2896,0.179,   HARPS
52946.2865,0.18,   HARPS
52996.1426,0.183,   HARPS
52996.1433,0.184,   HARPS
52996.1441,0.184,   HARPS
52996.1448,0.185,   HARPS
52996.1455,0.186,   HARPS
52996.1462,0.187,   HARPS
52997.1552,0.185,   HARPS
53016.1099,0.175,   HARPS
53028.0233,0.174,   HARPS
53028.024,0.176,   HARPS
53028.0248,0.178,   HARPS
53028.0255,0.177,   HARPS
53028.0263,0.177,   HARPS
53028.027,0.181,   HARPS
53031.0148,0.172,   HARPS
53031.0155,0.174,   HARPS
53031.017,0.17,   HARPS
53031.0177,0.175,   HARPS
53031.0184,0.175,   HARPS
53031.0191,0.176,   HARPS
53031.0199,0.174,   HARPS
53031.0206,0.171,   HARPS
53034.0374,0.181,   HARPS
53034.0381,0.181,   HARPS
53034.0388,0.182,   HARPS
53034.0395,0.18,   HARPS
53034.0402,0.179,   HARPS
53034.0409,0.181,   HARPS
53040.0848,0.172,   HARPS
53040.0855,0.175,   HARPS
53040.0862,0.172,   HARPS
53040.0869,0.172,   HARPS
53040.0876,0.174,   HARPS
53040.0884,0.171,   HARPS
53040.1039,0.167,   HARPS
53040.1046,0.168,   HARPS
53040.106,0.165,   HARPS
53040.1067,0.167,   HARPS
53046.0256,0.171,   HARPS
53046.0263,0.173,   HARPS
53046.027,0.172,   HARPS
53046.0277,0.169,   HARPS
53046.0284,0.176,   HARPS
53046.0291,0.173,   HARPS
53050.0215,0.171,   HARPS
53050.0222,0.172,   HARPS
53050.023,0.17,   HARPS
53050.0237,0.17,   HARPS
53050.0244,0.172,   HARPS
53050.0251,0.174,   HARPS
53056.0314,0.178,   HARPS
53060.0564,0.176,   HARPS
53061.0193,0.159,   HARPS
53061.02,0.168,   HARPS
53061.0207,0.165,   HARPS
53061.0214,0.164,   HARPS
53061.0221,0.168,   HARPS
53061.0229,0.166,   HARPS
53066.0239,0.161,   HARPS
53066.0246,0.159,   HARPS
53066.0253,0.162,   HARPS
53191.4342,0.174,   HARPS
53191.4351,0.171,   HARPS
53191.4361,0.174,   HARPS
53191.437,0.173,   HARPS
53191.438,0.175,   HARPS
53191.4389,0.17,   HARPS
53237.3858,0.181,   HARPS
53237.3867,0.18,   HARPS
53237.3877,0.179,   HARPS
53237.3887,0.181,   HARPS
53237.3896,0.179,   HARPS
53271.3682,0.177,   HARPS
53271.37,0.175,   HARPS
53271.3717,0.177,   HARPS
53271.3735,0.177,   HARPS
53271.3752,0.177,   HARPS
53271.377,0.177,   HARPS
53271.3787,0.176,   HARPS
53272.3783,0.176,   HARPS
53272.3792,0.177,   HARPS
53272.3801,0.177,   HARPS
53272.3811,0.176,   HARPS
53298.3629,0.176,   HARPS
53298.3638,0.177,   HARPS
53298.3648,0.176,   HARPS
53298.3658,0.177,   HARPS
53298.3667,0.176,   HARPS
53298.3676,0.177,   HARPS
53298.3685,0.176,   HARPS
53298.3695,0.175,   HARPS
53321.2011,0.174,   HARPS
53321.202,0.173,   HARPS
53321.203,0.173,   HARPS
53321.2039,0.173,   HARPS
53321.2048,0.173,   HARPS
53321.2058,0.173,   HARPS
53321.2067,0.172,   HARPS
53321.2076,0.173,   HARPS
53347.1464,0.176,   HARPS
53347.1473,0.176,   HARPS
53347.1483,0.177,   HARPS
53347.1492,0.176,   HARPS
53347.1501,0.175,   HARPS
53347.1511,0.175,   HARPS
53347.152,0.175,   HARPS
53347.153,0.177,   HARPS
53413.0217,0.179,   HARPS
53413.0226,0.179,   HARPS
53413.0236,0.179,   HARPS
53413.0245,0.178,   HARPS
53413.0255,0.165,   HARPS
53413.0264,0.18,   HARPS
53413.0274,0.18,   HARPS
53413.0283,0.18,   HARPS
53413.0293,0.18,   HARPS
53413.0302,0.179,   HARPS
53413.0311,0.179,   HARPS
53413.0321,0.181,   HARPS
53413.033,0.179,   HARPS
53413.0339,0.177,   HARPS
53413.0349,0.179,   HARPS
53413.0358,0.179,   HARPS
53413.0368,0.177,   HARPS
53413.0377,0.176,   HARPS
53413.0386,0.179,   HARPS
53413.0396,0.179,   HARPS
53413.0406,0.179,   HARPS
53413.0415,0.179,   HARPS
53413.0424,0.18,   HARPS
53442.0328,0.172,   HARPS
53442.0338,0.171,   HARPS
53442.0347,0.174,   HARPS
53442.0357,0.177,   HARPS
53442.0367,0.175,   HARPS
53442.0376,0.175,   HARPS
53442.0386,0.177,   HARPS
53442.0395,0.175,   HARPS
53442.0405,0.174,   HARPS
53624.3127,0.181,   HARPS
53624.3136,0.183,   HARPS
53624.3146,0.183,   HARPS
53624.3155,0.182,   HARPS
53624.3164,0.182,   HARPS
53624.3174,0.182,   HARPS
53624.3183,0.183,   HARPS
53624.3192,0.179,   HARPS
53730.1482,0.183,   HARPS
53730.1491,0.182,   HARPS
53730.15,0.183,   HARPS
53730.151,0.184,   HARPS
53730.1519,0.183,   HARPS
53730.1529,0.183,   HARPS
53730.1538,0.183,   HARPS
53730.1547,0.183,   HARPS
53731.1303,0.183,   HARPS
53731.1313,0.183,   HARPS
53731.1322,0.184,   HARPS
53731.1331,0.184,   HARPS
53731.1341,0.183,   HARPS
53731.135,0.183,   HARPS
53731.1359,0.183,   HARPS
53731.1369,0.183,   HARPS
53732.1008,0.184,   HARPS
53732.1017,0.184,   HARPS
53732.1026,0.184,   HARPS
53732.1036,0.183,   HARPS
53732.1045,0.184,   HARPS
53732.1055,0.184,   HARPS
53732.1064,0.184,   HARPS
53732.1073,0.183,   HARPS
53766.0918,0.185,   HARPS
53766.0928,0.185,   HARPS
53766.0937,0.186,   HARPS
53766.0947,0.186,   HARPS
53766.0956,0.185,   HARPS
53766.0966,0.184,   HARPS
53766.0976,0.186,   HARPS
53766.0986,0.186,   HARPS
53766.0995,0.185,   HARPS
53766.1005,0.186,   HARPS
53766.1014,0.185,   HARPS
53766.1024,0.185,   HARPS
53766.1034,0.186,   HARPS
53766.1043,0.187,   HARPS
53766.1053,0.186,   HARPS
53766.1063,0.186,   HARPS
53766.1072,0.185,   HARPS
53766.1082,0.185,   HARPS
53766.1092,0.185,   HARPS
53766.1101,0.187,   HARPS
53766.1111,0.186,   HARPS
53766.1121,0.185,   HARPS
53766.113,0.186,   HARPS
53778.0857,0.185,   HARPS
53778.0867,0.186,   HARPS
53778.0877,0.186,   HARPS
53778.0886,0.185,   HARPS
53778.0896,0.185,   HARPS
53778.0906,0.185,   HARPS
53778.0915,0.185,   HARPS
53778.0925,0.184,   HARPS
53778.1069,0.185,   HARPS
53778.1079,0.184,   HARPS
53778.1088,0.185,   HARPS
53804.0561,0.187,   HARPS
53804.0571,0.186,   HARPS
53804.0581,0.186,   HARPS
53804.0591,0.185,   HARPS
53804.06,0.187,   HARPS
53804.061,0.186,   HARPS
53804.062,0.187,   HARPS
53804.063,0.186,   HARPS
53804.064,0.187,   HARPS
53808.9955,0.185,   HARPS
53808.9963,0.185,   HARPS
53808.997,0.187,   HARPS
53808.9978,0.187,   HARPS
53808.9986,0.188,   HARPS
53808.9993,0.188,   HARPS
53809.0002,0.184,   HARPS
53809.0009,0.186,   HARPS
53809.0017,0.187,   HARPS
53809.0024,0.186,   HARPS
53809.0032,0.185,   HARPS
53809.004,0.184,   HARPS
53809.0048,0.188,   HARPS
53809.0056,0.187,   HARPS
53809.0064,0.186,   HARPS
53809.0072,0.188,   HARPS
53809.008,0.188,   HARPS
53809.0087,0.185,   HARPS
53809.0095,0.186,   HARPS
53809.0102,0.186,   HARPS
53809.996,0.186,   HARPS
53809.9975,0.187,   HARPS
53809.9989,0.187,   HARPS
53810.0004,0.187,   HARPS
53810.0018,0.187,   HARPS
53810.0033,0.186,   HARPS
53810.0047,0.186,   HARPS
53810.0062,0.187,   HARPS
53810.0076,0.187,   HARPS
53813.9913,0.186,   HARPS
53813.9931,0.187,   HARPS
53813.9949,0.187,   HARPS
53813.9967,0.188,   HARPS
53813.9985,0.188,   HARPS
53814.0003,0.187,   HARPS
53816.0019,0.187,   HARPS
53816.0037,0.187,   HARPS
53816.0055,0.188,   HARPS
53816.0073,0.187,   HARPS
53816.0091,0.187,   HARPS
53816.0108,0.187,   HARPS
54046.1684,0.19,   HARPS
54046.1693,0.19,   HARPS
54046.1704,0.19,   HARPS
54046.1714,0.189,   HARPS
54046.1724,0.189,   HARPS
54046.1733,0.189,   HARPS
54046.1743,0.19,   HARPS
54046.1753,0.19,   HARPS
54046.1763,0.189,   HARPS
54046.1773,0.19,   HARPS
54048.2923,0.192,   HARPS
54054.2927,0.19,   HARPS
54080.1861,0.195,   HARPS
54080.1878,0.195,   HARPS
54080.1896,0.194,   HARPS
54080.1913,0.195,   HARPS
54080.1931,0.195,   HARPS
54080.1948,0.194,   HARPS
54098.1024,0.191,   HARPS
54098.1034,0.19,   HARPS
54098.1043,0.19,   HARPS
54098.1052,0.191,   HARPS
54098.1062,0.193,   HARPS
54098.1071,0.191,   HARPS
54098.108,0.191,   HARPS
54098.109,0.191,   HARPS
54134.0667,0.189,   HARPS
54134.0677,0.188,   HARPS
54134.0686,0.187,   HARPS
54134.0695,0.189,   HARPS
54134.0705,0.188,   HARPS
54134.0714,0.189,   HARPS
54134.0724,0.189,   HARPS
54134.0733,0.189,   HARPS
54161.1,0.212,   HARPS
54161.101,0.21,   HARPS
54161.1019,0.21,   HARPS
54161.1028,0.207,   HARPS
54161.1038,0.209,   HARPS
54161.1047,0.207,   HARPS
54161.1056,0.208,   HARPS
54161.1066,0.208,   HARPS
54339.3769,0.206,   HARPS
54339.3779,0.205,   HARPS
54339.3788,0.204,   HARPS
54339.3798,0.204,   HARPS
54339.3807,0.205,   HARPS
54339.3817,0.206,   HARPS
54339.3826,0.204,   HARPS
54339.3835,0.205,   HARPS
54339.3852,0.204,   HARPS
54339.3862,0.205,   HARPS
54339.3871,0.206,   HARPS
54339.388,0.206,   HARPS
54339.389,0.205,   HARPS
54339.3899,0.206,   HARPS
54384.3164,0.201,   HARPS
54384.3174,0.201,   HARPS
54384.3184,0.202,   HARPS
54384.3194,0.203,   HARPS
54384.3204,0.204,   HARPS
54384.3214,0.203,   HARPS
54384.3224,0.203,   HARPS
54384.3234,0.202,   HARPS
54410.1882,0.214,   HARPS
54410.1892,0.212,   HARPS
54410.1902,0.212,   HARPS
54410.1911,0.213,   HARPS
54410.1921,0.212,   HARPS
54410.1931,0.212,   HARPS
54410.194,0.215,   HARPS
54410.195,0.213,   HARPS
54410.196,0.213,   HARPS
54410.197,0.213,   HARPS
54437.2392,0.204,   HARPS
54437.2402,0.204,   HARPS
54437.2412,0.204,   HARPS
54437.2422,0.203,   HARPS
54437.2433,0.204,   HARPS
54437.2443,0.204,   HARPS
54437.2453,0.205,   HARPS
54437.2463,0.204,   HARPS
54512.1147,0.218,   HARPS
54512.1157,0.22,   HARPS
54512.1166,0.219,   HARPS
54512.1176,0.214,   HARPS
54512.1185,0.214,   HARPS
54512.1195,0.215,   HARPS
54512.1204,0.214,   HARPS
54512.1213,0.214,   HARPS
54520.0517,0.205,   HARPS
54520.0526,0.206,   HARPS
54520.0536,0.206,   HARPS
54520.0545,0.203,   HARPS
54520.0555,0.205,   HARPS
54520.0564,0.206,   HARPS
54520.0574,0.204,   HARPS
54520.0583,0.204,   HARPS
54686.3491,0.228,   HARPS
54686.3501,0.228,   HARPS
54686.351,0.23,   HARPS
54686.352,0.228,   HARPS
54686.3529,0.228,   HARPS
54686.3539,0.229,   HARPS
54686.3548,0.23,   HARPS
54686.3558,0.229,   HARPS
54686.3567,0.229,   HARPS
54715.3552,0.221,   HARPS
54715.3561,0.221,   HARPS
54715.3571,0.221,   HARPS
54715.358,0.22,   HARPS
54715.359,0.223,   HARPS
54715.3599,0.224,   HARPS
54715.3609,0.221,   HARPS
54715.3618,0.223,   HARPS
54715.3627,0.22,   HARPS
55066.4197,0.215,   HARPS
55066.4224,0.215,   HARPS
55066.4251,0.215,   HARPS
55066.4278,0.214,   HARPS
55835.2858,0.202,   HARPS
55835.2885,0.201,   HARPS
55835.2912,0.201,   HARPS
55835.2939,0.202,   HARPS
55838.2226,0.198,   HARPS
55838.2265,0.198,   HARPS
55838.2303,0.198,   HARPS
55842.3129,0.197,   HARPS
55842.3156,0.197,   HARPS
55842.3183,0.197,   HARPS
55874.2822,0.196,   HARPS
55874.2843,0.197,   HARPS
55874.2864,0.196,   HARPS
55874.2885,0.195,   HARPS
55874.2906,0.197,   HARPS
55874.2927,0.197,   HARPS
55878.195,0.189,   HARPS
55878.1971,0.188,   HARPS
55878.1992,0.189,   HARPS
55878.2013,0.189,   HARPS
55878.2034,0.189,   HARPS
55878.2055,0.189,   HARPS
55880.2001,0.191,   HARPS
55880.2022,0.191,   HARPS
55880.2043,0.191,   HARPS
55880.2064,0.192,   HARPS
55880.2085,0.191,   HARPS
55880.2106,0.192,   HARPS
55892.1399,0.19,   HARPS
55892.1415,0.189,   HARPS
55892.143,0.19,   HARPS
55892.1445,0.19,   HARPS
55892.1461,0.19,   HARPS
55892.1476,0.191,   HARPS
55892.1491,0.191,   HARPS
55892.1506,0.19,   HARPS
55899.1507,0.201,   HARPS
55899.1706,0.202,   HARPS
55899.1721,0.203,   HARPS
55899.1736,0.203,   HARPS
55899.1751,0.202,   HARPS
55899.1767,0.203,   HARPS
55899.1782,0.203,   HARPS
55901.199,0.206,   HARPS
55902.284,0.208,   HARPS
55902.2849,0.205,   HARPS
55902.2859,0.203,   HARPS
55902.2868,0.207,   HARPS
55902.2878,0.204,   HARPS
55902.2887,0.204,   HARPS
55902.2897,0.206,   HARPS
55902.2906,0.208,   HARPS
56189.3497,0.191,   HARPS
56189.3553,0.191,   HARPS
56195.2935,0.19,   HARPS
56195.2974,0.191,   HARPS
56195.3012,0.19,   HARPS
56201.3061,0.192,   HARPS
56201.3088,0.19,   HARPS
56201.3115,0.191,   HARPS
56619.1497,0.18,   HARPS
56619.1514,0.179,   HARPS
56619.1532,0.18,   HARPS
56619.155,0.179,   HARPS
56619.1567,0.178,   HARPS
56619.1585,0.179,   HARPS
56626.2343,0.178,   HARPS
56626.2382,0.178,   HARPS
56626.242,0.178,   HARPS
56629.2183,0.181,   HARPS
56629.2204,0.18,   HARPS
56629.2226,0.18,   HARPS
56629.2247,0.181,   HARPS
56629.2268,0.181,   HARPS
56629.2289,0.181,   HARPS
56631.1812,0.182,   HARPS
56631.1868,0.181,   HARPS
56712.0803,0.182,   HARPS
56712.0841,0.182,   HARPS
56712.088,0.182,   HARPS
56713.0622,0.182,   HARPS
56713.066,0.182,   HARPS
56713.0698,0.182,   HARPS
56714.0687,0.184,   HARPS
56714.0725,0.183,   HARPS
56714.0764,0.183,   HARPS
56715.0636,0.183,   HARPS
56715.0657,0.182,   HARPS
56715.0678,0.183,   HARPS
56715.0699,0.183,   HARPS
56715.072,0.183,   HARPS
56715.0741,0.182,   HARPS
56718.0544,0.181,   HARPS
56718.0565,0.18,   HARPS
56718.0586,0.183,   HARPS
56718.0607,0.182,   HARPS
56718.0628,0.182,   HARPS
56718.0649,0.181,   HARPS
56727.0194,0.177,   HARPS
56727.025,0.176,   HARPS
56729.9974,0.176,   HARPS
56730.0012,0.176,   HARPS
56730.005,0.176,   HARPS
56895.3767,0.184,   HARPS
56895.3805,0.183,   HARPS
56895.3844,0.183,   HARPS
56903.4017,0.192,   HARPS
56903.4042,0.192,   HARPS
56903.4066,0.193,   HARPS
56903.4091,0.192,   HARPS
56903.4116,0.192,   HARPS
56927.328,0.18,   HARPS
56927.3302,0.18,   HARPS
56927.3323,0.179,   HARPS
56927.3344,0.18,   HARPS
56927.3365,0.179,   HARPS
56927.3386,0.179,   HARPS
56929.3489,0.18,   HARPS
56929.3513,0.18,   HARPS
56929.3538,0.181,   HARPS
56929.3562,0.181,   HARPS
56929.3587,0.18,   HARPS
57020.0982,0.189,   HARPS
57020.1017,0.189,   HARPS
57020.1052,0.189,   HARPS
57038.1225,0.179,   HARPS
57038.1246,0.179,   HARPS
57038.1267,0.18,   HARPS
57038.1288,0.179,   HARPS
57039.0599,0.178,   HARPS
57039.061,0.179,   HARPS
57039.062,0.179,   HARPS
57039.0631,0.178,   HARPS
57039.0642,0.179,   HARPS
57039.0652,0.179,   HARPS
57039.0663,0.178,   HARPS
57039.0674,0.179,   HARPS
57274.3578,0.187,   HARPS
57274.3605,0.186,   HARPS
57274.3632,0.187,   HARPS
57274.3658,0.187,   HARPS
57277.3456,0.185,   HARPS
57277.3477,0.187,   HARPS
57277.3497,0.185,   HARPS
57277.3518,0.185,   HARPS
57277.3539,0.185,   HARPS
57277.356,0.186,   HARPS
57295.3259,0.202,   HARPS
57295.3272,0.202,   HARPS
57295.3285,0.202,   HARPS
57295.3297,0.202,   HARPS
57295.331,0.202,   HARPS
57295.3323,0.2,   HARPS
57295.3336,0.202,   HARPS
57295.3349,0.203,   HARPS
57305.3531,0.202,   HARPS
57305.3552,0.203,   HARPS
57305.3573,0.203,   HARPS
57305.3594,0.202,   HARPS
57305.3615,0.201,   HARPS
57305.3636,0.202,   HARPS
57308.3063,0.198,   HARPS
57308.3078,0.199,   HARPS
57308.3094,0.198,   HARPS
57308.3109,0.198,   HARPS
57308.3124,0.198,   HARPS
57308.3139,0.198,   HARPS
57308.3154,0.198,   HARPS
57308.3169,0.2,   HARPS
57308.3184,0.198,   HARPS
57327.2102,0.216,   HARPS
57327.2141,0.216,   HARPS
57327.2179,0.216,   HARPS
57336.2612,0.209,   HARPS
57339.2228,0.204,   HARPS
57339.2268,0.204,   HARPS
57340.2063,0.203,   HARPS
57340.2101,0.203,   HARPS
57341.3011,0.202,   HARPS
57341.305,0.201,   HARPS
57341.3143,0.201,   HARPS
57359.2284,0.204,   HARPS
57359.2322,0.203,   HARPS
57359.2758,0.205,   HARPS
57359.2796,0.204,   HARPS
57360.2224,0.206,   HARPS
57360.2263,0.206,   HARPS
57361.2476,0.207,   HARPS
57361.2515,0.206,   HARPS
57362.2508,0.205,   HARPS
57391.1553,0.199,   HARPS
57391.1566,0.199,   HARPS
57391.1579,0.198,   HARPS
57391.1592,0.198,   HARPS
57391.1605,0.199,   HARPS
57391.1617,0.197,   HARPS
57391.163,0.198,   HARPS
57391.1643,0.198,   HARPS
57391.1656,0.198,   HARPS
57432.086,0.198,   HARPS
57432.0898,0.198,   HARPS
57432.0937,0.198,   HARPS
57462.9981,0.192,   HARPS
57463.0005,0.192,   HARPS
57470.0044,0.2,   HARPS
57470.0073,0.2,   HARPS
57470.0103,0.2,   HARPS
57470.0133,0.199,   HARPS
52235.333,0.179,    Keck
52236.3555,0.189,    Keck
52237.3981,0.168,    Keck
52307.2376,0.178,    Keck
52536.4996,0.161,    Keck
52601.493,0.181,    Keck
52855.634,0.163,    Keck
52855.6354,0.161,    Keck
53239.6284,0.172,    Keck
53302.4525,0.158,    Keck
53302.4531,0.157,    Keck
53339.4646,0.172,    Keck
53339.4654,0.177,    Keck
53339.4661,0.177,    Keck
53368.4671,0.166,    Keck
53368.4677,0.168,    Keck
53368.4683,0.17,    Keck
53426.3046,0.168,    Keck
53426.3052,0.162,    Keck
53426.3059,0.167,    Keck
53692.4345,0.162,    Keck
53692.4353,0.158,    Keck
53692.4362,0.161,    Keck
53692.4377,0.163,    Keck
53692.4383,0.161,    Keck
53692.5431,0.161,    Keck
53692.5439,0.156,    Keck
53692.5445,0.16,    Keck
53693.5548,0.156,    Keck
53693.5554,0.153,    Keck
53693.5561,0.152,    Keck
53694.4465,0.162,    Keck
53694.4471,0.157,    Keck
53694.4476,0.158,    Keck
53694.4523,0.168,    Keck
53694.4529,0.167,    Keck
53694.4535,0.165,    Keck
53695.3169,0.168,    Keck
53695.3175,0.162,    Keck
53695.3181,0.161,    Keck
53696.408,0.165,    Keck
53696.4086,0.162,    Keck
53696.4092,0.164,    Keck
53724.4343,0.167,    Keck
53724.4349,0.165,    Keck
53724.4355,0.166,    Keck
53724.4362,0.165,    Keck
53724.4368,0.166,    Keck
54396.3975,0.195,    Keck
54397.5135,0.19,    Keck
54399.469,0.193,    Keck
54399.4697,0.197,    Keck
54429.453,0.187,    Keck
54453.3427,0.197,    Keck
54453.3472,0.193,    Keck
54454.3624,0.19,    Keck
54454.3631,0.19,    Keck
54455.5207,0.204,    Keck
54458.5342,0.193,    Keck
54460.317,0.187,    Keck
54461.3528,0.174,    Keck
54461.3548,0.177,    Keck
54490.3166,0.182,    Keck
54491.3377,0.195,    Keck
54544.2993,0.226,    Keck
54545.2364,0.191,    Keck
54546.2316,0.196,    Keck
54689.6395,0.205,    Keck
54689.6401,0.2,    Keck
54701.6363,0.178,    Keck
54778.4466,0.19,    Keck
54778.4471,0.185,    Keck
54778.4477,0.187,    Keck
54779.5009,0.189,    Keck
54779.5015,0.183,    Keck
54779.5021,0.184,    Keck
54810.471,0.188,    Keck
54819.5521,0.218,    Keck
54819.5527,0.192,    Keck
54819.5535,0.207,    Keck
54819.5543,0.194,    Keck
54819.5549,0.205,    Keck
54820.3481,0.191,    Keck
54820.3496,0.196,    Keck
54820.3508,0.189,    Keck
54820.3523,0.191,    Keck
54821.3626,0.193,    Keck
54821.3632,0.199,    Keck
54821.3638,0.194,    Keck
54821.3644,0.191,    Keck
54821.3651,0.192,    Keck
54821.3657,0.198,    Keck
54821.3663,0.193,    Keck
54821.3669,0.19,    Keck
54822.3627,0.203,    Keck
54822.3633,0.197,    Keck
54822.3639,0.2,    Keck
54822.3645,0.202,    Keck
54822.3652,0.201,    Keck
54822.3658,0.203,    Keck
54822.3663,0.203,    Keck
54864.4042,0.235,    Keck
54864.4048,0.216,    Keck
54864.4054,0.219,    Keck
54867.227,0.198,    Keck
54867.2286,0.203,    Keck
54872.3676,0.209,    Keck
54872.3687,0.222,    Keck
54872.3696,0.209,    Keck
54872.3705,0.206,    Keck
54872.3715,0.207,    Keck
54872.3724,0.21,    Keck
54928.2218,0.224,    Keck
54929.2183,0.2,    Keck
55110.5772,0.187,    Keck
55134.5989,0.19,    Keck
55166.4511,0.189,    Keck
55166.4517,0.186,    Keck
55166.4523,0.198,    Keck
55166.4529,0.186,    Keck
55166.4536,0.187,    Keck
55200.3092,0.184,    Keck
55200.3099,0.196,    Keck
55200.3105,0.196,    Keck
55200.3111,0.184,    Keck
55200.3117,0.177,    Keck
55256.2084,0.185,    Keck
55257.2826,0.195,    Keck
55257.2832,0.19,    Keck
55257.2838,0.195,    Keck
55257.2846,0.192,    Keck
55257.2853,0.199,    Keck
55260.2124,0.185,    Keck
55410.6371,0.19,    Keck
55410.6377,0.191,    Keck
55410.6382,0.186,    Keck
55411.6349,0.191,    Keck
55411.6355,0.187,    Keck
55411.6361,0.189,    Keck
55425.6421,0.199,    Keck
55425.6426,0.185,    Keck
55425.6432,0.19,    Keck
55426.6449,0.193,    Keck
55426.6454,0.191,    Keck
55426.646,0.187,    Keck
55433.6478,0.194,    Keck
55433.6484,0.191,    Keck
55433.6489,0.193,    Keck
55434.6435,0.193,    Keck
55434.6441,0.197,    Keck
55434.6446,0.195,    Keck
55435.6416,0.192,    Keck
55435.6422,0.193,    Keck
55435.6427,0.191,    Keck
55436.6322,0.197,    Keck
55436.6328,0.192,    Keck
55436.6333,0.195,    Keck
55437.6471,0.189,    Keck
55437.6476,0.19,    Keck
55437.6482,0.185,    Keck
55438.6444,0.186,    Keck
55438.6449,0.186,    Keck
55438.6455,0.191,    Keck
55439.6481,0.18,    Keck
55439.6487,0.195,    Keck
55439.6492,0.196,    Keck
55455.5142,0.197,    Keck
55455.5148,0.197,    Keck
55455.5154,0.195,    Keck
55462.6187,0.192,    Keck
55462.6193,0.189,    Keck
55462.6199,0.19,    Keck
55462.6205,0.194,    Keck
55462.6212,0.192,    Keck
55462.6218,0.191,    Keck
55462.6224,0.193,    Keck
55464.5728,0.197,    Keck
55464.5734,0.193,    Keck
55464.5739,0.193,    Keck
55468.6257,0.194,    Keck
