 MJD (day),     S_index,     Source
44874.953,0.204,      MW
44886.968,0.19,      MW
44886.969,0.19,      MW
44886.971,0.192,      MW
44893.936,0.197,      MW
44893.938,0.199,      MW
44893.94,0.199,      MW
44894.95,0.195,      MW
44894.952,0.197,      MW
44894.955,0.194,      MW
44895.957,0.196,      MW
44895.96,0.197,      MW
44895.962,0.199,      MW
44896.945,0.199,      MW
44896.947,0.199,      MW
44896.949,0.203,      MW
44898.976,0.202,      MW
44898.978,0.205,      MW
44898.98,0.203,      MW
44899.97,0.207,      MW
44899.971,0.203,      MW
44899.972,0.202,      MW
44900.989,0.209,      MW
44900.99,0.205,      MW
44900.991,0.21,      MW
45021.647,0.185,      MW
45021.649,0.185,      MW
45021.652,0.186,      MW
45022.639,0.182,      MW
45022.643,0.184,      MW
45022.647,0.183,      MW
45024.666,0.194,      MW
45024.6689,0.187,      MW
45024.672,0.19,      MW
45026.66,0.188,      MW
45026.662,0.187,      MW
45026.663,0.19,      MW
45032.672,0.189,      MW
45032.681,0.187,      MW
45032.686,0.181,      MW
45247.949,0.182,      MW
45247.952,0.177,      MW
45247.953,0.182,      MW
45248.929,0.187,      MW
45248.9301,0.188,      MW
45248.931,0.184,      MW
45249.976,0.189,      MW
45249.978,0.199,      MW
45249.98,0.193,      MW
45250.9611,0.192,      MW
45250.962,0.193,      MW
45250.964,0.179,      MW
45251.944,0.192,      MW
45251.946,0.19,      MW
45251.948,0.191,      MW
45252.891,0.193,      MW
45252.8929,0.196,      MW
45252.896,0.198,      MW
45253.969,0.189,      MW
45253.972,0.187,      MW
45253.974,0.183,      MW
45277.915,0.192,      MW
45277.916,0.188,      MW
45277.917,0.187,      MW
45305.869,0.189,      MW
45305.877,0.183,      MW
45305.881,0.187,      MW
45307.868,0.187,      MW
45307.87,0.187,      MW
45307.871,0.187,      MW
45317.709,0.186,      MW
45317.7111,0.186,      MW
45317.713,0.187,      MW
45578.017,0.181,      MW
45578.017,0.178,      MW
45578.0179,0.183,      MW
45582.026,0.178,      MW
45582.027,0.183,      MW
45582.028,0.186,      MW
45583.01,0.179,      MW
45583.011,0.183,      MW
45583.011,0.177,      MW
45584.0291,0.179,      MW
45584.03,0.178,      MW
45584.031,0.182,      MW
45589.002,0.173,      MW
45589.0031,0.17,      MW
45589.0031,0.177,      MW
45591.011,0.174,      MW
45591.012,0.18,      MW
45591.012,0.176,      MW
45594.991,0.181,      MW
45594.9919,0.184,      MW
45594.993,0.184,      MW
45595.9399,0.171,      MW
45595.941,0.17,      MW
45595.941,0.173,      MW
45618.021,0.185,      MW
45618.022,0.178,      MW
45618.024,0.172,      MW
45618.8719,0.173,      MW
45618.873,0.178,      MW
45618.874,0.18,      MW
45625.91,0.18,      MW
45625.911,0.183,      MW
45625.912,0.177,      MW
45646.975,0.179,      MW
45646.9771,0.175,      MW
45646.979,0.172,      MW
45655.8879,0.177,      MW
45655.89,0.176,      MW
45655.891,0.177,      MW
45666.941,0.176,      MW
45666.943,0.177,      MW
45666.944,0.178,      MW
45673.7939,0.175,      MW
45673.797,0.179,      MW
45673.8,0.178,      MW
45685.78,0.173,      MW
45685.781,0.178,      MW
45685.783,0.175,      MW
45704.827,0.176,      MW
45704.828,0.17,      MW
45704.829,0.176,      MW
45706.802,0.176,      MW
45706.803,0.173,      MW
45706.804,0.173,      MW
45723.7729,0.166,      MW
45723.775,0.161,      MW
45723.777,0.173,      MW
45725.714,0.17,      MW
45725.715,0.17,      MW
45725.717,0.173,      MW
45728.734,0.172,      MW
45728.735,0.169,      MW
45728.736,0.174,      MW
45746.6429,0.179,      MW
45746.644,0.169,      MW
45746.645,0.17,      MW
45748.623,0.171,      MW
45748.624,0.17,      MW
45748.625,0.169,      MW
45749.624,0.169,      MW
45749.625,0.171,      MW
45749.626,0.172,      MW
45750.614,0.168,      MW
45750.615,0.173,      MW
45750.616,0.171,      MW
45751.6121,0.169,      MW
45751.613,0.177,      MW
45751.614,0.17,      MW
45752.616,0.165,      MW
45752.6169,0.17,      MW
45752.618,0.17,      MW
45753.6219,0.164,      MW
45753.623,0.169,      MW
45753.624,0.167,      MW
45754.62,0.167,      MW
45754.6219,0.168,      MW
45754.6219,0.169,      MW
45756.619,0.17,      MW
45756.621,0.166,      MW
45756.623,0.171,      MW
45764.656,0.171,      MW
45764.6591,0.17,      MW
45764.661,0.169,      MW
45966.0278,0.173,      MW
45966.0286,0.172,      MW
45966.0297,0.173,      MW
45977.9542,0.179,      MW
45977.9553,0.175,      MW
45977.9564,0.176,      MW
45999.9437,0.174,      MW
45999.9456,0.175,      MW
45999.9473,0.173,      MW
46003.9315,0.176,      MW
46003.9332,0.171,      MW
46003.9354,0.177,      MW
46007.9655,0.174,      MW
