BJD - 2454833,Corrected Flux,error
2471.735490653, 1.000361936,
2471.755922880, 1.000303659,
2471.776355206, 1.000340939,
2471.796787532, 1.000323047,
2471.817219857, 1.000353722,
2471.837652282, 1.000824157,
2471.878516830, 1.000325065,
2471.898949253, 1.000364322,
2471.919381475, 1.000326957,
2471.939813797, 1.000316820,
2471.960246219, 1.000239766,
2471.980678440, 1.000232164,
2472.001110760, 1.000200990,
2472.021543180, 1.000285395,
2472.041975499, 1.000302680,
2472.062407718, 1.000336148,
2472.082840137, 1.000265247,
2472.123704672, 1.000364684,
2472.144137089, 1.000329614,
2472.164569405, 1.000287769,
2472.185001621, 1.000324735,
2472.205434036, 1.000318139,
2472.225866351, 1.000270784,
2472.246298565, 1.000281331,
2472.266730979, 1.000312485,
2472.287163292, 1.000259793,
2472.307595505, 1.000337781,
2472.328027917, 1.000336429,
2472.348460229, 1.000301962,
2472.368892640, 1.000304089,
2472.389324850, 1.000325685,
2472.409757160, 1.000310590,
2472.430189569, 1.000300137,
2472.471054087, 1.000270083,
2472.491486495, 1.000225281,
2472.511918802, 1.000401213,
2472.532351009, 1.000357173,
2472.552783416, 1.000309610,
2472.573215622, 1.000349749,
2472.614080332, 1.000311978,
2472.634512536, 1.000295652,
2472.654944840, 1.000263484,
2472.675377243, 1.000258867,
2472.695809446, 1.000306246,
2472.736674150, 1.000249709,
2472.757106351, 1.000344570,
2472.777538652, 1.000423183,
2472.797971052, 1.000230400,
2472.818403252, 1.000313108,
2472.859267950, 1.000284835,
2472.879700248, 1.000246750,
2472.900132545, 1.000247285,
2472.920564842, 1.000294090,
2472.940997139, 1.000318831,
2472.961429435, 1.000317685,
2472.981861731, 1.000303913,
2473.002294026, 1.000774180,
2473.022726420, 1.000376864,
2473.043158614, 1.000354467,
2473.063590907, 1.000253070,
2473.124887785, 1.000170397,
2473.145320176, 1.000243565,
2473.165752367, 1.000262003,
2473.186184658, 1.000239639,
2473.206617047, 1.000346896,
2473.227049237, 1.000289472,
2473.247481526, 1.000248255,
2473.267913914, 1.000246723,
2473.288346102, 1.000307875,
2473.308778389, 1.000267689,
2473.329210676, 1.000314173,
